ледяную холодность	[['ледяной', {'вин,ед'}], ['холодность', {'вин,ед', 'им,ед'}]]
ледяными стенками	[['ледяной', {'твор,мн'}], ['стенка', {'твор,мн'}]]
ледяной крупы	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['крупа', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяное жилье	[['ледяной', {'вин,ед', 'им,ед'}], ['жилье', {'пр,ед', 'вин,ед', 'им,ед'}]]
ледяной простор	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['простор', {'вин,ед', 'им,ед'}]]
ледяному насту	[['ледяной', {'дат,ед'}], ['наст', {'дат,ед'}]]
ледяными столбами	[['ледяной', {'твор,мн'}], ['столб', {'твор,мн'}]]
ледяных наростах	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['нарост', {'пр,мн'}]]
ледяных сталактитов	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['сталактит', {'род,мн'}]]
ледяным налетом	[['ледяной', {'дат,мн', 'твор,ед'}], ['налет', {'твор,ед'}]]
ледяной залежи	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['залежь', {'вин,мн', 'дат,ед', 'пр,ед', 'род,ед', 'им,мн'}]]
ледяном ручье	[['ледяной', {'пр,ед'}], ['ручей', {'пр,ед'}]]
ледяное море	[['ледяной', {'вин,ед', 'им,ед'}], ['море', {'пр,ед', 'вин,ед', 'им,ед'}]]
ледяном холоде	[['ледяной', {'пр,ед'}], ['холод', {'пр,ед'}]]
ледяной венец	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['венец', {'вин,ед', 'им,ед'}]]
ледяной пропасти	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['пропасть', {'вин,мн', 'дат,ед', 'пр,ед', 'род,ед', 'им,мн'}]]
ледяная толща	[['ледяной', {'им,ед'}], ['толща', {'им,ед'}]]
ледяными ножами	[['ледяной', {'твор,мн'}], ['нож', {'твор,мн'}]]
ледяного потока	[['ледяной', {'род,ед', 'вин,ед'}], ['поток', {'род,ед'}]]
ледяные равнины	[['ледяной', {'вин,мн', 'им,мн'}], ['равнина', {'вин,мн', 'род,ед', 'им,мн'}]]
ледяной цемент	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['цемент', {'вин,ед', 'им,ед'}]]
ледяной дорожкой	[['ледяной', {'твор,ед', 'пр,ед', 'дат,ед', 'им,ед', 'род,ед', 'вин,ед'}], ['дорожка', {'твор,ед'}]]
ледяном море	[['ледяной', {'пр,ед'}], ['море', {'пр,ед', 'вин,ед', 'им,ед'}]]
ледяных полей	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['поле', {'род,мн'}]]
ледяных шапках	[['ледяной', {'пр,мн', 'род,мн', 'вин,мн'}], ['шапка', {'пр,мн'}]]
ледяную пластину	[['ледяной', {'вин,ед'}], ['пластина', {'вин,ед'}]]
