худы стали	[['худой', {'мн,кр'}], ['становиться', set()]]
худой знак	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['знак', {'им,ед', 'вин,ед'}]]
худыми плечами	[['худой', {'твор,мн'}], ['плечо', {'твор,мн'}]]
худой ты	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['ты', {'им,ед'}]]
худыя привычки	[['худой', {'вин,мн', 'им,мн'}], ['привычка', {'род,ед', 'вин,мн', 'им,мн'}]]
худая обувь	[['худой', {'им,ед'}], ['обувь', {'им,ед', 'вин,ед'}]]
худыя мысли	[['худой', {'вин,мн', 'им,мн'}], ['мысль', {'род,ед', 'дат,ед', 'пр,ед', 'вин,мн', 'им,мн'}]]
худой мужик	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['мужик', {'им,ед'}]]
худомъ счету	[['худой', {'пр,ед'}], ['счет', {'дат,ед', 'парт,ед'}]]
худая баба	[['худой', {'им,ед'}], ['баба', {'им,ед'}]]
худыми плечиками	[['худой', {'твор,мн'}], ['плечики', {'твор,мн'}]]
худой поэт	[['худой', {'дат,ед', 'род,ед', 'пр,ед', 'им,ед', 'твор,ед', 'вин,ед'}], ['поэт', {'им,ед'}]]
худых мест	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['место', {'род,мн'}]]
худым знанием	[['худой', {'дат,мн', 'твор,ед'}], ['знание', {'твор,ед'}]]
худая грудь	[['худой', {'им,ед'}], ['грудь', {'им,ед', 'вин,ед'}]]
худых следствий	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['следствие', {'род,мн'}]]
худого зада	[['худой', {'род,ед', 'вин,ед'}], ['зад', {'род,ед'}]]
худое положеше	[['худой', {'им,ед', 'вин,ед'}], ['положеш', {'пр,ед'}]]
худыя места	[['худой', {'вин,мн', 'им,мн'}], ['место', {'род,ед', 'вин,мн', 'им,мн'}]]
худого она	[['худой', {'род,ед', 'вин,ед'}], ['она', {'им,ед'}]]
худыми качествами	[['худой', {'твор,мн'}], ['качество', {'твор,мн'}]]
худое содержание	[['худой', {'им,ед', 'вин,ед'}], ['содержание', {'им,ед', 'вин,ед'}]]
худых руках	[['худой', {'пр,мн', 'вин,мн', 'род,мн'}], ['рука', {'пр,мн'}]]
