noun,holodnyj,ledyanoj,code
решетка,142,66,#00480b
холм,142,613,#2f2f90
грань,142,42,#2f2f90
свод,138,346,#5e3a87
шар,137,307,#2356f2
иголка,137,567,#8316ac
колодец,134,149,#49c3aa
материк,132,1048,#2f2f90
арктика,131,58,#2f2f90
остров,127,6802,#2f2f90
невозмутимость,119,46,black
дворец,117,1145,#ab7a8c
кристалл,115,12699,black
образование,115,2951,#8a59e9
месиво,114,257,#f9c778
твердь,114,170,#2f2f90
муть,114,47,#d21fc5
осколок,113,955,black
комочек,111,152,black
омут,108,43,#2f2f90
ад,108,379,#2f2f90
саван,107,49,#8c4e4a
чашка,106,42,#2356f2
столбик,106,40,#2356f2
поднебесье,104,44,#2f2f90
тиски,103,437,#8ef8a6
буря,103,119,#50ff6c
зерно,102,547,#7c423d
избушка,101,139,black
кислота,100,88,#aa143b
блестка,100,43,#47ad43
круг,99,219,#2356f2
вьюга,96,43,#7a982a
нутро,90,44,#2f2f90
изморозь,90,45,#d21fc5
вихор,90,50,#2356f2
прозрачность,88,80,black
крест,87,94,#4bf0ec
ступня,87,53,black
сквознячок,87,92,black
мантия,84,72,#d21fc5
град,83,112,#065948
пропасть,81,209,#065948
коготь,74,94,black
они,71,228,black
изваяние,70,60,#fc63d5
клин,63,2976,#e25250
ось,63,62,#76c0c6
хрусталь,62,60,#d21fc5
полюс,59,52,#2f2f90
замок,59,184,#2f2f90
купол,58,2988,black
громада,58,977,#ff0deb
прорубь,56,601,#2f2f90
толща,55,1727,#2356f2
стихия,54,212,#7a982a
обруч,54,273,#00480b
шарик,53,570,#24ad7e
водопад,52,58,#2f2f90
башня,52,54,#ab7a8c
судорога,52,40,#f57d15
цилиндр,52,281,#38e04c
сугроб,48,40,black
мешок,47,338,#57b576
площадка,46,846,#2f2f90
плен,46,1183,black
паутина,44,48,#d21fc5
рябь,44,632,#f57d15
покрывало,43,72,#c8be5e
цемент,42,226,#d21fc5
кружка,42,126,#00480b
обломок,42,462,#ef6e7b
