существительное,gross,riesig
Schwarm,4544,569
Ozean,4540,279
Orgel,4535,98
Wüste,4461,272
Waldungen,4418,163
Neubau,4416,121
Metropole,4375,119
Appetit,4373,128
Bevölkerungszahl,4347,69
Grube,4347,247
Schatten,4345,1156
Landstrich,4340,232
Waldgebiet,4306,517
Landschaft,4241,72
Wasserfläche,4236,255
Binnenmarkt,4210,274
Mund,4202,169
Netzwerk,4170,287
Denkmal,4165,194
Zelt,4157,336
Plakat,4138,836
Absatzmarkt,4134,330
Zustrom,4133,91
Aufgebot,4124,500
Leere,4113,72
Palast,4112,531
Treppe,4091,162
Schlange,4046,1053
Verwaltung,4040,43
Spanne,4026,59
US,4007,77
Wesen,4000,46
Chor,3929,70
Umstellung,3909,41
Scholle,3903,98
Ziffer,3897,103
Erhöhung,3895,48
Plantage,3859,340
Überschwemmung,3827,281
Absatzgebiet,3802,84
Kampagne,3789,64
Einfuhr,3766,50
Potenz,3759,48
Fass,3726,189
Durcheinander,3631,140
Fleisse,3626,65
Hut,3618,244
Einkunft,3589,128
Übermacht,3565,311
Säule,3556,514
Küche,3511,225
Gletscher,3496,454
Messer,3490,134
Stufe,3487,51
Bucht,3473,136
Landbesitz,3445,205
Buche,3445,79
Wut,3409,86
Kontinent,3401,971
Sowjetunion,3389,223
Farm,3386,114
Fonds,3359,94
Bett,3322,386
Palette,3319,184
Ofen,3319,188
Terrain,3312,116
Verschwendung,3221,199
Leinwand,3183,694
Verschwörung,3180,41
Vorkommen,3157,283
Salon,3137,60
Terrasse,3101,165
Koffer,3063,241
Schock,3059,42
Erbschaft,3046,44
Schloss,3038,260
Speisesaal,3024,138
Sortiment,2970,48
Friedhof,2967,392
Haupt,2963,115
Baustelle,2950,684
Kaste,2950,138
Feuersbrunst,2886,128
Ressource,2863,266
Ausweitung,2855,93
Stalin,2848,45
Kuppel,2839,444
Zone,2783,62
Archiv,2779,250
Gelächter,2777,65
Agglomeration,2770,48
Arbeitsfeld,2767,139
Ausfuhr,2727,44
Schuppe,2720,58
Repertoire,2720,110
Villa,2713,185
Kathedrale,2710,169
Horn,2703,208
Steuer,2693,92
Gefängnis,2689,239
Krater,2686,483
Rüstung,2678,104
Ballen,2672,160
Schrank,2663,68
Gedränge,2656,42
Laboratorium,2653,97
Waldfläche,2650,225
Marktplatz,2650,61
Expansion,2643,50
Statue,2640,463
Horizont,2637,43
Knochen,2636,89
Industriegebiet,2635,45
Tasche,2603,81
Portal,2600,44
Gebirge,2593,216
Arbeitskraft,2592,310
Flamme,2592,207
Volksfest,2591,111
Werkstatt,2583,94
Uhr,2574,155
Bodenfläche,2573,56
Glied,2563,138
Speicher,2557,215
Stoß,2540,88
Anbaufläche,2517,115
Imperium,2506,420
Schleife,2478,86
Felsblock,2469,561
Blume,2466,111
Datenbank,2459,359
Warenmenge,2459,65
Rußland,2391,360
Pferd,2390,46
Narbe,2388,57
Steinbruch,2379,109
Flugzeug,2364,44
Felsen,2359,455
Behörde,2321,44
Schuldenlast,2310,286
Erfahrungsschatz,2308,87
Sumpf,2308,98
Maul,2301,314
Trust,2299,112
Informationsmenge,2283,178
Relief,2268,41
Arbeitslast,2267,65
Fach,2262,114
Schreibtisch,2245,466
Magnet,2237,194
Proportion,2236,193
Sonne,2224,146
Katalog,2217,62
Landfläche,2210,357
Landstrecken,2200,80
Propaganda,2195,202
Schädel,2191,99
Turm,2182,443
Verschuldung,2174,178
Chaos,2168,128
Dom,2164,124
Kaserne,2160,115
Steinblock,2149,371
Menschenansammlung,2144,40
Fundus,2134,330
Büro,2129,49
Flughafen,2124,40
Skala,2109,45
Eiche,2098,419
Zuschuss,2095,44
Wirbel,2089,110
Wolke,2088,528
Front,2082,333
Karton,2079,99
Brust,2072,243
Scheune,2044,130
Tumult,2042,46
Forst,2027,41
Domäne,2024,48
Geldmenge,2021,171
Getriebe,2002,49
Steinplatte,1999,70
Streitmacht,1985,111
Diamant,1970,108
Fresko,1964,66
Freitreppe,1957,52
Latifundien,1953,638
Knall,1952,75
Wand,1933,383
Arsenal,1929,615
Halbinsel,1928,115
Liste,1920,86
Türe,1910,69
Kolonialreich,1898,549
Karawane,1896,40
Betätigungsfeld,1896,97
Katze,1874,69
Drache,1872,212
Maschinerie,1843,359
Spore,1841,54
Schreck,1839,101
Statur,1828,44
Budget,1813,54
Kapitalbedarf,1812,128
Burg,1803,100
Wohnzimmer,1801,48
Lagerstätte,1793,136
Landmasse,1788,465
Bekanntenkreis,1787,46
Viehherde,1787,221
Tunnel,1786,46
Kuchen,1758,91
Strauß,1732,284
Foto,1716,51
Quader,1712,176
Schlagzeile,1710,307
Einkaufszentrum,1689,175
Muschel,1664,72
Anwesen,1660,85
Reklame,1628,65
Parkplatz,1610,349
Stadion,1608,139
Körperkraft,1604,145
Hintergrund,1601,52
Industrieanlage,1589,153
Woge,1587,331
Monument,1584,120
Staudamm,1581,291
Wandgemälde,1579,150
Verwaltungsapparat,1572,353
Polyp,1564,106
Grab,1531,138
Gesicht,1523,110
Wasserfall,1510,99
Bürde,1509,46
Wurzel,1507,55
Tross,1507,138
Applaus,1504,58
Kerl,1502,286
Produktivkraft,1497,112
Computer,1487,64
Teppich,1472,175
Spektakel,1462,54
Mosaik,1459,116
Teller,1457,67
Linde,1457,203
Kolonialreiche,1452,344
Halbkreis,1445,67
Mechanismus,1440,147
Explosion,1436,208
Trichter,1430,260
Porträt,1425,123
Lagerbestand,1405,55
Gewölbe,1403,123
Dach,1401,179
Stapel,1398,381
Kolonne,1388,206
Bildschirm,1386,119
Schaufenster,1385,95
Puppe,1376,40
Innenhof,1370,40
Blumenstrauß,1366,449
Weltstadt,1351,47
Schlüssel,1348,157
Bresche,1344,42
Pfeiler,1337,199
Stausee,1328,323
Kapitalmenge,1325,132
Verwaltungsaufwand,1324,40
Schirm,1318,42
Leib,1312,316
Inschrift,1311,44
Hammer,1295,72
Lastwagen,1291,213
Weltreich,1282,57
Konzentrationslager,1273,346
Bottich,1269,46
Hinterland,1266,302
Produktionsstätte,1261,42
Kamin,1255,189
Wohnblock,1254,59
Bauch,1254,135
Heerlager,1252,133
Glasfläche,1240,52
Spinne,1238,360
Fahne,1222,275
Ballon,1214,67
Feuerwerk,1191,118
Schlachtfeld,1191,70
Damm,1169,94
Decke,1153,95
Brille,1144,66
Bevölkerungsmasse,1139,42
Schlafsaal,1135,45
Anwachsen,1129,849
Himmel,1128,173
Käfig,1121,79
Propagandaaufwand,1119,113
Pool,1117,87
Landgebiet,1107,59
Eismasse,1105,138
Löwe,1102,152
Panorama,1096,158
Schwert,1096,167
Busen,1095,43
Adler,1094,166
Aquarium,1084,111
Krone,1082,186
Transparent,1079,440
Kapitalinvestition,1073,101
Aufbau,1071,95
Weidefläche,1070,179
Schafherde,1066,212
Landkarte,1060,156
Party,1052,73
Arm,1051,183
Bürokratie,1050,387
Flüchtlingsstrom,1047,233
Foliant,1040,146
Bart,1037,40
Wasserkräfte,1033,75
Fabrikanlage,1029,122
Glasscheibe,1029,61
Keller,1028,54
Vermögenswert,1026,73
Lagerhaus,1026,44
Produktionskapazität,1019,52
Schildkröte,1010,271
China,1010,240
Tank,1000,173
Arbeitspensum,995,109
Weide,989,65
Materiales,988,43
Menschenverlust,988,51
Mond,975,54
Kosmos,974,61
Elefant,956,215
Supermarkt,948,71
Dividende,945,53
Polizeiaufgebot,944,208
Schneemasse,941,66
Kranz,941,92
Ruine,931,131
Amphitheater,928,293
Stiefel,912,43
Apparatur,906,178
Gebäudekomplex,901,336
Eingangshalle,886,110
Blutlache,878,147
Subvention,872,235
Balken,867,63
Sessel,863,72
Ölgemälde,860,42
Penis,851,70
Traube,827,84
Pfütze,814,136
Skulptur,808,100
Glasfenster,803,43
Gold,795,41
Granitblock,777,71
Antenne,775,49
Finanzmittel,769,57
Kerze,764,84
Steppe,760,63
Bauplatz,757,244
Tatsachenmaterial,756,73
Insekt,751,142
Arena,748,206
Staubwolke,746,673
Grabhügel,742,49
Hilfsquelle,738,101
Kachelofen,737,118
Privatvermögen,731,41
Universum,730,67
Produktionsanlage,727,40
Scheiterhaufen,727,344
Größe,724,2021
Pensum,722,45
Trümmer,716,101
Konglomerat,715,70
Räderwerk,710,54
Sphinx,705,54
Gebäudekomplexe,704,74
Kruzifix,702,42
Demonstrationszug,702,152
Baumstamm,700,235
Scheinwerfer,699,302
Fackelzug,696,43
Holzmengen,684,52
Buddha,683,45
Schmelztiegel,680,55
Kapitalmassen,679,42
Rinderherde,673,200
Forschungsgebiet,672,45
Beamtenapparat,670,76
Felsbrocken,668,267
Kiefer,667,102
Zuschauermenge,666,51
Strohhut,660,62
Kronleuchter,652,173
Stoffmasse,651,106
Erdölvorkommen,650,66
Uhrwerk,637,83
Trümmerhaufe,630,227
Korrespondenz,628,222
Vakuum,627,51
Tanne,619,292
Erdöl,618,63
Schwamm,609,59
Tribüne,597,48
Kolonialbesitz,588,185
Ungeheuer,583,278
Wal,578,40
Staatsschuld,571,172
Fichte,561,87
Floß,558,40
Wall,548,52
Schornstein,545,160
Schnurrbart,543,65
Obelisk,541,47
Eisscholle,540,83
Ratte,537,98
Steinhaufe,531,56
Rucksack,528,85
Globus,522,98
Abgrund,511,41
Urwald,511,254
Kohlenlager,510,49
Käfer,509,50
Armada,503,54
Beule,503,56
Kriegsschaden,500,45
Zeltlager,493,103
Felsmasse,492,45
Lautsprecher,489,134
Steinmasse,488,46
Kran,481,147
Trümmerfeld,474,246
