noun,bednyj,nischij,colour,code
овечка,358,10,black,other
мастер,357,10,#1d0853,hum
искусство,354,10,black,other
служанка,352,10,#c9d7b6,hum/prof
соловей,347,10,#ae2fd2,animal
американец,347,10,#2b7220,hum:etn
любовь,345,10,#79acaa,psych:emot
обитель,340,10,#1d472d,space
елена,340,10,black,other
франция,338,10,black,other
дворяночка,334,10,black,other
лошадка,333,10,#98e168,toy
торговец,333,10,#c9d7b6,hum/prof
все,332,10,black,other
общинник,332,10,#1d0853,hum
книга,332,10,#e93ddb,text
путешественник,328,10,#1d0853,hum
кальций,328,10,#52865b,stuff
местечко,325,10,#1d472d,space
ребеночек,322,10,black,other
ученица,321,10,black,other
рука,317,10,#1d0853,hum
кучка,314,10,black,other
лицо,313,10,#1d472d,space
александр,312,10,black,other
марья,311,10,black,other
вода,308,10,#7d57e2,stuff/liq
соня,308,10,#ae2fd2,animal
пленник,308,10,#1d0853,hum
поручик,306,10,#21c919,hum/armpos
оруденение,306,10,black,other
госпожа,305,10,#1d0853,hum
россиянин,305,10,#1d0853,hum
словарь,304,10,#e93ddb,text
стих,303,10,#64db13,psych:emot?
золушка,302,10,#1d0853,hum
француз,300,10,#2b7220,hum:etn
гувернантка,297,10,#c9d7b6,hum/prof
луна,296,10,#689851,space/astr
графиня,293,10,black,other
татьяна,292,10,black,other
поденщик,291,10,#1d0853,hum
рубище,291,10,#344189,tool:cloth
учительница,290,10,black,other
муза,287,10,#1d0853,hum
больная,282,10,black,other
ухо,282,10,#a46071,tool
софья,281,10,black,other
татарин,281,10,#2b7220,hum:etn
скотина,280,10,#1d1d42,hum$
школа,280,10,#e96f47,org
наталья,280,10,black,other
мученик,278,10,#1d0853,hum
средство,275,10,#703e83,poss
наследство,274,10,#fb0424,poss:приобретение
михаил,271,10,black,other
стихотворец,270,10,black,other
место,270,10,#a46071,tool
н,269,10,black,other
итальянец,269,10,#2b7220,hum:etn
история,268,10,#e93ddb,text
мистер,268,10,#1d0853,hum
малыш,267,10,#1d0853,hum
продукт,267,10,#880e41,food
катерина,267,10,black,other
школьник,266,10,#1d0853,hum
соотечественник,265,10,#1d0853,hum
слуга,265,10,#1d0853,hum
небо,263,10,#1d472d,space
мужчина,261,10,#1d0853,hum
зона,261,10,#1d472d,space
николка,260,10,black,other
лачужка,258,10,black,other
трудящийся,257,10,#1d0853,hum
воин,255,10,#c9d7b6,hum/prof
стол,254,10,#1d472d,space
ассортимент,253,10,black,other
стрелок,252,10,#c9d7b6,hum/prof
односельчанин,251,10,#1d0853,hum
родня,251,10,black,other
откупщик,250,10,#1d0853,hum
головка,249,10,#c2a38c,group
мельник,249,10,#1d0853,hum
жид,248,10,#2b7220,hum:etn
китаец,246,10,#2b7220,hum:etn
индеец,245,10,#2b7220,hum:etn
алексей,245,10,black,other
аня,244,10,black,other
азот,244,10,#52865b,stuff
мери,243,10,black,other
храм,243,10,#1d472d,space
