noun,holodnyj,ledyanoj,colour,code
говядина,656,10,#40186d,stuff/food
трубка,649,10,#ae0a06,tool
метанол,646,10,black,other
лес,643,10,#a834b7,form
рассуждение,642,10,#70ab68,speech
кушанье,629,10,#f5cf70,food/блюдо
простыня,628,10,#05756d,tool:@bedding/linen
протяжка,618,10,black,other
лезвие,616,10,#ae0a06,tool
пучок,613,10,black,other
этанол,607,10,black,other
скептицизм,602,10,#ac8b87,psych:emot?
водоем,601,10,#cbe183,space/reservoir
запах,598,10,#fb449e,smell
чугун,598,10,#fe9792,tool:dish
тип,588,10,#b8a02c,hum
рационализм,584,10,#bebb3a,humq
рассудительность,580,10,black,other
угол,579,10,#f8f0e3,space
п,575,10,black,other
змея,574,10,#f286a1,hum$
сжатие,573,10,black,other
обтирание,547,10,black,other
воля,545,10,#064761,psych:volit/space
паровоз,542,10,#522c9f,tool:transp
огонек,540,10,#c64267,stuff
пятидневка,532,10,#14c3a1,time:period
вулканизация,531,10,black,other
горница,526,10,#606b2e,room
проращивание,523,10,black,other
адвекция,523,10,black,other
собор,522,10,#e15568,constr
варварство,521,10,black,other
гамма,519,10,black,other
борщ,518,10,#9b9cc1,stuff/food/liq/блюдо
кабинет,516,10,#dc5861,group
сушка,514,10,#caa71e,changest
дерзость,514,10,#2440b4,behav
стерилизация,514,10,black,other
класс,507,10,#b5ba73,hier/param
кладовая,504,10,#f8f0e3,space
она,504,10,black,other
глина,504,10,#c64267,stuff
удивление,502,10,#3f543e,psych:emot
письмо,501,10,#8b221e,asp
закат,500,10,#6a8673,light
отчуждение,499,10,#8b286b,inter:прекращение
двор,496,10,#1d897d,org
встреча,489,10,#9d05ed,action
регион,488,10,#f8f0e3,space
высадок,488,10,black,other
белизна,484,10,#2064ed,color
враждебность,484,10,black,other
уголь,480,10,#ae0a06,tool
пена,479,10,#c64267,stuff
вътер,477,10,black,other
чулан,473,10,#606b2e,room
точка,468,10,#73cd8b,предел
ружье,467,10,#e90eee,tool:weapon
питие,466,10,black,other
палатка,465,10,#e15568,constr
любовь,462,10,#3f543e,psych:emot
завтрак,460,10,#47d6af,food
краска,456,10,#cce0e0,impact
этап,454,10,#f8f0e3,space
накатывание,453,10,black,other
оранжерея,453,10,#be32f1,room/constr
плечо,453,10,#f8f0e3,space
постройка,452,10,#754fcf,constr:@hut
колорит,452,10,#2064ed,color
объективность,449,10,black,other
циклон,442,10,#75bb40,weather
воронка,439,10,#f8f0e3,space
асфальтобетон,438,10,black,other
занос,435,10,#f8f0e3,space
отказ,430,10,black,other
обкатка,429,10,black,other
промывка,427,10,black,other
интервал,426,10,#319352,dist
пуск,426,10,#8c9a3f,time:moment?
уста,425,10,black,other
обращение,418,10,#47fd49,word
материя,417,10,#c64267,stuff
ремесленник,415,10,#b8a02c,hum
полотенце,412,10,#f2ff39,linen/tool
труба,412,10,#e38c9b,tool:mus
недоумение,411,10,#ab3785,ment
местность,409,10,#f8f0e3,space
лист,409,10,#19a79a,doc
режим,409,10,#81443b,time?
камин,409,10,#f8f0e3,space
скука,403,10,#3f543e,psych:emot
петроград,400,10,black,other
абсцесс,396,10,#d2c6ef,manif:disease
обливание,394,10,#cce0e0,impact
сосиска,394,10,#da1144,food/изделие
азот,394,10,#c64267,stuff
доска,389,10,#ae0a06,tool
око,388,10,black,other
гексан,388,10,black,other
водород,381,10,#c64267,stuff
строгость,381,10,#bebb3a,humq
номер,381,10,#0d759e,sign/tool
продувка,380,10,black,other
природа,380,10,#f8f0e3,space
ростбиф,380,10,#f5cf70,food/блюдо
ручонка,376,10,black,other
здание,375,10,#e15568,constr
машина,374,10,#522c9f,tool:transp
рассчет,374,10,black,other
прихожая,372,10,#812f2d,room/tool:furn
облагораживание,371,10,black,other
голубизна,371,10,#2064ed,color
величие,370,10,black,other
чердак,365,10,#606b2e,room
дух,365,10,#fb449e,smell
