noun,holodnyj,ledyanoj,colour,code
железа,60,10,black,other
диссертация,60,10,#ac3977,text
рама,60,10,black,other
стенд,60,10,#f8f0e3,space
настойчивость,60,10,black,other
интрузия,60,10,black,other
адепт,59,10,#b8a02c,hum
носик,59,10,black,other
самообладание,59,10,black,other
туманность,59,10,#9d65a9,light?
винтовка,59,10,#e90eee,tool:weapon
писатель,59,10,#056ecf,hum/prof
усовершенствование,59,10,#27f6ce,изменение
выдумка,58,10,#ab3785,ment
последователь,58,10,#b8a02c,hum
мироздание,58,10,#f8f0e3,space
смешение,58,10,black,other
горн,58,10,#e38c9b,tool:mus
постел,58,10,black,other
ус,58,10,#82b7e4,hair
трясина,58,10,#f8f0e3,space
пруд,58,10,#cbe183,space/reservoir
щелочь,57,10,#c64267,stuff
трупик,57,10,black,other
июнь,57,10,#5366bc,time:month
сосняк,57,10,#f8f0e3,space
пайка,57,10,#c1bd87,space$
топливо,57,10,#c64267,stuff
суд,57,10,#ab3785,ment
полдень,57,10,#f8f0e3,space
профессионализм,57,10,black,other
аргон,57,10,#c64267,stuff
обмывание,57,10,black,other
боб,57,10,#6e2bfe,plant
морс,57,10,#3b723b,stuff/food/liq
практицизм,57,10,black,other
перо,57,10,#6d15d0,tool:instr
кокетство,57,10,black,other
зимовка,56,10,#f8f0e3,space
имя,56,10,#47fd49,word
лечение,56,10,black,other
плоскость,56,10,#f8f0e3,space
соображение,56,10,#ab3785,ment
шкаф,56,10,#5be0b0,tool:device
симметрия,56,10,#617ee4,форма?
фейерверк,56,10,#6a8673,light
тональность,56,10,#ebb288,psych?
строение,56,10,#e15568,constr
обувь,55,10,black,other
себялюбец,55,10,#b8a02c,hum
живот,55,10,#c689a0,be:exist
фойе,55,10,#606b2e,room
подпрессовка,55,10,black,other
шалаш,55,10,#e15568,constr
категория,55,10,#6fb7e6,hier
легкость,55,10,black,other
стремя,55,10,#ae0a06,tool
хижина,55,10,#754fcf,constr:@hut
изучение,55,10,black,other
толуол,55,10,black,other
воспоминание,55,10,#ac3977,text
скальпель,55,10,#6d15d0,tool:instr
житьишко,55,10,black,other
разуверение,54,10,black,other
перл,54,10,#972792,jewel
отражение,54,10,#5ec1ce,ment?
грунт,54,10,#c64267,stuff
помост,54,10,#0c9b62,constr:настил
реализм,54,10,#bebb3a,humq
непонимание,54,10,black,other
фантазия,54,10,#393827,workmus
искорка,54,10,black,other
электричка,54,10,#f8f0e3,space
скрап,54,10,black,other
кондиционирование,54,10,black,other
укол,54,10,#70ab68,speech
любовник,54,10,#b8a02c,hum
ветка,54,10,#f8f0e3,space
рациональность,54,10,black,other
пушок,53,10,#82b7e4,hair
плоть,53,10,#c64267,stuff
политик,53,10,#b8a02c,hum
скорбь,53,10,#3f543e,psych:emot
стилизация,53,10,#e03665,workart
сеть,53,10,#ae0a06,tool
парат,53,10,black,other
жалость,53,10,#3f543e,psych:emot
строфа,53,10,#ac3977,text
ласковость,53,10,black,other
плакирование,53,10,black,other
косточка,53,10,#b8a02c,hum
пресс,53,10,#ae0a06,tool
складка,53,10,#0e5223,внешний вид
сухость,53,10,black,other
подозрительность,52,10,black,other
июль,52,10,#5366bc,time:month
манерность,52,10,black,other
ложь,52,10,black,other
приготовление,52,10,black,other
лжец,52,10,#b8a02c,hum
склеивание,52,10,black,other
суета,52,10,#2440b4,behav
орудие,52,10,#e90eee,tool:weapon
консервы,52,10,#da1144,food/изделие
бесстрашие,52,10,#7cd60c,humq/neg
наука,51,10,black,other
инструмент,51,10,#e38c9b,tool:mus
благоразумие,51,10,#bebb3a,humq
озлобление,51,10,#92d10f,psych
шерсть,51,10,#c64267,stuff
часовня,51,10,#e15568,constr
безжалостность,51,10,black,other
темница,51,10,black,other
изложница,51,10,#ae0a06,tool
украшение,51,10,#98664a,access
отрицание,51,10,#5ec1ce,ment?
свист,51,10,#8ee6e2,sound:@asp
кефир,50,10,#3b723b,stuff/food/liq
созерцатель,50,10,#b8a02c,hum
прощание,50,10,#70ab68,speech
пластич,50,10,black,other
упрочнение,50,10,black,other
существование,50,10,#c689a0,be:exist
кукушкин,50,10,black,other
телятник,50,10,#056ecf,hum/prof
призрак,50,10,#edbbcb,hum:supernat
смешок,50,10,#fefe77,sound/manif:emot
экстрагирование,50,10,black,other
жажда,50,10,#3f543e,psych:emot
литье,50,10,#a01cbf,impact:обработка
тряпица,50,10,black,other
периферия,50,10,#f8f0e3,space
тепло,50,10,#3f543e,psych:emot
кружок,50,10,#dc5861,group
красавец,50,10,#b8a02c,hum
отповедь,50,10,#70ab68,speech
червь,50,10,#3f543e,psych:emot
кафля,50,10,black,other
станция,50,10,#83b645,tool:transp$/constr
перечисление,50,10,black,other
лейка,49,10,#e27ef0,tool:dish/tool
мойка,49,10,#ae0a06,tool
чиновник,49,10,#b8a02c,hum
бокал,49,10,#fe9792,tool:dish
проволока,49,10,#c64267,stuff
восхищение,49,10,#3f543e,psych:emot
квасок,49,10,#1c8206,taste/addit
мураш,49,10,#f3a7b5,animal
актер,49,10,#b8a02c,hum
вой,49,10,#642656,sound
нефть,49,10,#b02f3d,stuff/liq
молитва,49,10,#70ab68,speech
сера,49,10,#c64267,stuff
вещь,49,10,#5a241a,workart/workmus/workdram/workcin/text
глянец,49,10,#f8e9fe,light/внешний вид
вызов,48,10,#f9b012,manif:emot/behav
шквал,48,10,#00b45c,manif/quant:max
юг,48,10,#f8f0e3,space
сакля,48,10,#e15568,constr
томление,48,10,black,other
валенок,48,10,#7ce1aa,tool:cloth:@boot
буква,48,10,#ab3785,ment
прямоугольник,48,10,#b4e9df,sign
отчет,48,10,#70ab68,speech
стишок,48,10,black,other
абс,48,10,black,other
бронза,48,10,#c64267,stuff
родничок,47,10,#0a85af,space/spring
отчизна,47,10,#f8f0e3,space
мораль,47,10,#70ab68,speech
мыслитель,47,10,#b8a02c,hum
кость,47,10,#c64267,stuff
крыльцо,47,10,black,other
сидение,47,10,black,other
сосуд,47,10,#fe9792,tool:dish
ведро,47,10,#329aa0,unit
отсек,47,10,#fee5fb,space/room
шея,47,10,black,other
происхождение,47,10,#805046,be:appear
роскошь,47,10,black,other
слушатель,46,10,#b8a02c,hum
рассказ,46,10,#70ab68,speech
звездочка,46,10,#b8a02c,hum
норвегия,46,10,black,other
кисель,46,10,#40186d,stuff/food
нора,46,10,#606b2e,room
усталость,46,10,#571e10,psych/physiol
стебель,46,10,black,other
небытие,46,10,#686845,отсутствие
пышность,46,10,black,other
жесть,46,10,#c64267,stuff
низ,46,10,#642656,sound
градусник,46,10,#d8125c,tool:device:@measur:metr
самолет,46,10,#522c9f,tool:transp
беспристрастность,45,10,black,other
поземка,45,10,black,other
напряжение,45,10,#c20f13,param
ткань,45,10,#c64267,stuff
ушат,45,10,#ae0a06,tool
седло,45,10,#a834b7,form
дань,45,10,#5a9cd0,poss
рационалист,45,10,#b8a02c,hum
бесчувственность,45,10,black,other
быт,45,10,black,other
каюта,45,10,#606b2e,room
нужник,45,10,black,other
проковка,45,10,black,other
совершенство,45,10,#efb738,quality
морда,45,10,black,other
днище,45,10,black,other
зев,45,10,black,other
молния,45,10,#ae0a06,tool
будка,45,10,#be32f1,room/constr
ученый,45,10,#056ecf,hum/prof
оно,44,10,black,other
зоря,44,10,black,other
исландия,44,10,black,other
плитка,44,10,#5be0b0,tool:device
колодка,44,10,#ae0a06,tool
ученость,44,10,#ab3785,ment
оброк,44,10,black,other
корридор,44,10,black,other
курок,44,10,#ae0a06,tool
жесткость,44,10,black,other
солнышко,44,10,#b8a02c,hum
мечтатель,44,10,#b8a02c,hum
мыло,44,10,#c64267,stuff
пасть,43,10,black,other
щипчики,43,10,#6d15d0,tool:instr
непримиримость,43,10,black,other
шепот,43,10,#642656,sound
овраг,43,10,#f8f0e3,space
декламация,43,10,black,other
формула,43,10,#70ab68,speech
язь,43,10,#30b3d9,animal:@fish/food
девушка,43,10,#2af190,hum:kin$/hum
самолюбие,43,10,#bebb3a,humq
щечка,43,10,black,other
призер,43,10,#b8a02c,hum
ощущение,43,10,#92d10f,psych
угар,43,10,#5a117c,?
атеист,43,10,#b8a02c,hum
созерцательность,43,10,black,other
мертвец,43,10,#b8a02c,hum
острота,43,10,#70ab68,speech
клюква,43,10,#6e2bfe,plant
порядок,43,10,#d05087,asp:move
немота,42,10,#65d429,disease/отсутствие
марево,42,10,#c64267,stuff
хвост,42,10,#b8a02c,hum
особа,42,10,#b8a02c,hum
газировка,42,10,#3b723b,stuff/food/liq
павильон,42,10,#ca710d,constr:@build
бумага,42,10,#c64267,stuff
четкость,42,10,black,other
светило,42,10,#b8a02c,hum
повторение,42,10,#5a117c,?
вре,42,10,black,other
прагматик,42,10,#b8a02c,hum
земл,42,10,black,other
кинжал,41,10,#e90eee,tool:weapon
солома,41,10,#d2c914,food:fodder
одр,41,10,#f8f0e3,space
дочь,41,10,#11712b,animal$
кимоно,41,10,#3dd3f1,tool:cloth
роль,41,10,#ac3977,text
лачуга,41,10,#e15568,constr
гравий,41,10,#c64267,stuff
наган,41,10,#e90eee,tool:weapon
коробка,41,10,#ae0a06,tool
визг,41,10,#642656,sound
бидон,41,10,#fe9792,tool:dish
отлив,41,10,#2064ed,color
азарт,41,10,#92d10f,psych
боржом,41,10,black,other
торжество,41,10,#3f543e,psych:emot
сладость,40,10,#47d6af,food
водочка,40,10,black,other
обдуманность,40,10,black,other
существенность,40,10,black,other
срубец,40,10,black,other
ботинок,40,10,#7ce1aa,tool:cloth:@boot
корка,10,22565,#c64267,stuff
холод,10,5701,#01e1f7,manif:emot
жила,10,5179,#b8a02c,hum
панцирь,10,5131,#c64267,stuff
массив,10,4993,#f8f0e3,space
сосулька,10,4899,black,other
щит,10,3957,#f8f0e3,space
барьер,10,3574,#f8f0e3,space
горка,10,3151,#58359b,move/move:fig
дорожка,10,2798,#ae0a06,tool
включение,10,2644,black,other
торос,10,2622,black,other
шапка,10,2455,#ac3977,text
керн,10,2298,black,other
корочка,10,2123,#19a79a,doc
крупа,10,1934,#c64267,stuff
затор,10,1884,black,other
континент,10,1728,#f8f0e3,space
поход,10,1724,#ba503b,action/move
крошево,10,1642,black,other
узор,10,1519,#5327fb,pattern
бугор,10,1493,#fb4f9f,form/space
кристаллик,10,1366,black,other
шлир,10,1308,black,other
припай,10,1293,#c64267,stuff
линза,10,1277,#ae0a06,tool
пробка,10,1274,#6f5cda,tool/tool:device
обрыв,10,1169,#f8f0e3,space
оковы,10,1167,#1e7343,tool:узы
кромка,10,1152,#f8f0e3,space
мост,10,1106,#ae0a06,tool
зародыш,10,1035,black,other
переправа,10,1034,#522c9f,tool:transp
плато,10,984,#f8f0e3,space
нарост,10,930,#f8f0e3,space
стужа,10,927,#f34330,temper
перемычка,10,917,#068472,space/constr
плотина,10,870,#e15568,constr
пласт,10,840,black,other
холодность,10,761,black,other
сало,10,735,#c64267,stuff
крошка,10,731,#cce0e0,impact
наст,10,656,#c64267,stuff
пластинка,10,617,#ae0a06,tool
покрытие,10,593,#4baa53,stuff/tool
каток,10,586,#07b2e6,tool:instr:@implement
питание,10,556,#47d6af,food
калориметр,10,555,#d8125c,tool:device:@measur:metr
шуга,10,515,#c64267,stuff
крепость,10,509,#c20f13,param
трасса,10,507,#f8f0e3,space
прослой,10,507,black,other
прослоек,10,472,black,other
панцырь,10,459,black,other
сталактит,10,449,#c6f90b,stone
преграда,10,443,#068472,space/constr
хребет,10,443,#f8f0e3,space
охлаждение,10,435,black,other
блок,10,390,#5be0b0,tool:device
сооружение,10,384,#e15568,constr
холодок,10,377,black,other
асон,10,374,black,other
аэродром,10,373,#068472,space/constr
нагромождение,10,366,#f501a7,put
короста,10,356,black,other
основание,10,351,#c64267,stuff
домик,10,351,#ca710d,constr:@build
заберег,10,351,black,other
иголочка,10,344,black,other
стебелек,10,342,black,other
снзсоон,10,332,black,other
грот,10,326,#f8f0e3,space
якорь,10,325,#ae0a06,tool
кубик,10,298,#a834b7,form
антарктида,10,297,black,other
крыша,10,294,black,other
чаша,10,272,#88c0b2,space/form
выступ,10,269,#f8f0e3,space
хранилище,10,265,#be32f1,room/constr
скат,10,265,#8113b6,animal:@fish
лавина,10,261,#712856,quant:max
жилка,10,238,black,other
причал,10,233,#ae0a06,tool
уксус,10,228,#b02f3d,stuff/liq
шельф,10,226,#f8f0e3,space
уступ,10,223,#88c0b2,space/form
отложение,10,219,#c64267,stuff
хаос,10,208,#686845,отсутствие
шторм,10,206,#75bb40,weather
фигура,10,193,#b8a02c,hum
желоб,10,187,#f8f0e3,space
слон,10,185,#f286a1,hum$
бахрома,10,179,#c64267,stuff
налет,10,177,#a66374,дополнитель
пика,10,177,#fbf4a4,inter$
скопление,10,175,black,other
гребень,10,172,#aa082b,форма
монолит,10,172,#c64267,stuff
залежи,10,171,black,other
пылинка,10,166,black,other
потолок,10,164,black,other
хладнокровие,10,163,#bebb3a,humq
конгломерат,10,161,#c64267,stuff
закраина,10,158,black,other
залежь,10,158,#f8f0e3,space
частичка,10,156,black,other
арена,10,151,#f8f0e3,space
тропа,10,150,#f8f0e3,space
крупинка,10,146,black,other
русло,10,144,#cbe183,space/reservoir
платформа,10,143,#f8f0e3,space
цепь,10,143,#a834b7,form
борода,10,141,#82b7e4,hair
глазурь,10,140,#40186d,stuff/food
бунт,10,138,black,other
скульптура,10,137,black,other
прожилка,10,134,black,other
пушка,10,133,#5be0b0,tool:device
тропинка,10,129,#f8f0e3,space
венец,10,125,#98664a,access
алмаз,10,123,#6d15d0,tool:instr
глава,10,123,#b8a02c,hum
конус,10,117,#a834b7,form
обвал,10,114,#f8f0e3,space
айсберг,10,112,black,other
рельеф,10,112,#413359,workart:скульт
полотно,10,108,#e03665,workart
великан,10,108,#b8a02c,hum
островок,10,107,black,other
дрова,10,107,black,other
закраек,10,107,black,other
утес,10,107,#f8f0e3,space
ворота,10,105,#e15568,constr
спуск,10,105,#ae0a06,tool
настил,10,103,#0c9b62,constr:настил
балка,10,103,#f8f0e3,space
пик,10,101,black,other
престол,10,101,#eee8e0,tool:furn
кольчуга,10,97,#a8964b,tool/tool:cloth$
латы,10,96,#a8964b,tool/tool:cloth$
дробь,10,93,#642656,sound
прибой,10,92,#75bb40,weather
бритва,10,91,#6d15d0,tool:instr
мороз,10,90,#75bb40,weather
булава,10,88,#ae0a06,tool
кочка,10,88,#f8f0e3,space
казбек,10,85,black,other
роза,10,83,#e03665,workart
призма,10,81,#9414a9,form:geom
канал,10,80,#5a117c,?
кружева,10,79,black,other
перевал,10,79,#f8f0e3,space
нагрузка,10,78,#f501a7,put
аллея,10,77,#f8f0e3,space
откос,10,74,#ae0a06,tool
скорлупа,10,74,#c64267,stuff
натек,10,73,#c64267,stuff
дамба,10,72,#1e9c41,constr/space
рев,10,71,#8ee6e2,sound:@asp
сталагмит,10,71,#c6f90b,stone
горошина,10,71,#4c2fcc,fruit/food
окова,10,67,black,other
зуб,10,67,#ae0a06,tool
круча,10,66,#f8f0e3,space
побережье,10,64,#f8f0e3,space
колпак,10,63,#b8a02c,hum
валун,10,63,#c6f90b,stone
зубец,10,63,black,other
птица,10,63,#f286a1,hum$
метеорит,10,62,#faa841,space/astr
ураган,10,62,#75bb40,weather
наплыв,10,62,#712856,quant:max
оконце,10,62,black,other
кружево,10,61,#5327fb,pattern
каскад,10,61,#5358cf,workmus/dance
горки,10,59,black,other
клещи,10,59,#a834b7,form
крупка,10,58,black,other
лагерь,10,57,#dc5861,group
карниз,10,56,#f8f0e3,space
свеча,10,56,#aa082b,форма
ладоши,10,55,black,other
пурга,10,55,#75bb40,weather
острог,10,54,#ca710d,constr:@build
сосуля,10,54,black,other
ук,10,53,black,other
наслоение,10,52,#c64267,stuff
глоток,10,52,black,other
обида,10,51,#3f543e,psych:emot
ожог,10,51,#f8f0e3,space
ущелие,10,51,black,other
мыс,10,50,#a834b7,form
стрела,10,50,#522c9f,tool:transp
бревно,10,50,#ae0a06,tool
кор,10,49,black,other
городок,10,49,#ae0a06,tool
доспехи,10,48,black,other
развод,10,47,#8b286b,inter:прекращение
кока,10,47,#1646b0,plant:@bush
укрепление,10,47,#e15568,constr
свечка,10,47,#aa082b,форма
посох,10,46,black,other
окошко,10,46,#d03f6f,tool/space
империя,10,45,#1d897d,org
полынья,10,45,#f8f0e3,space
горб,10,44,#88c0b2,space/form
крутизна,10,44,#f8f0e3,space
слюда,10,44,#c64267,stuff
конь,10,43,#ae0a06,tool
ножичек,10,43,black,other
пузырь,10,42,#b8a02c,hum
чертог,10,42,#3fff99,room/constr:@build
кашица,10,42,#c64267,stuff
подъем,10,41,#f8f0e3,space
домишко,10,41,black,other
графин,10,41,#fe9792,tool:dish
надолба,10,40,#ae0a06,tool
лучик,10,40,black,other
ломтик,10,40,black,other
