noun,krasnyj,krasnovatyj,colour,code
наряд,368,10,#9bf24f,group
дорога,368,10,#3f8a34,move
облицовка,367,10,#dc7886,stuff
империя,366,10,#af7d78,org
губернатор,366,10,#447e07,hum
партия,363,10,#447e07,hum
пряжа,363,10,#dc7886,stuff
адмирал,362,10,#1be049,hum/armpos
фуфайка,362,10,#966df4,tool:cloth
бахрома,361,10,#dc7886,stuff
раса,360,10,black,other
меч,360,10,#0df16c,tool:weapon
артиллерист,357,10,#561de1,hum/prof
камка,356,10,#dc7886,stuff
десятилетие,356,10,#16069c,time:period
разность,355,10,black,other
жена,355,10,#447e07,hum
призма,354,10,#967d0f,form:geom
он,353,10,#fa0f2e,hum:kin$/hum
квадратик,352,10,black,other
шишка,351,10,#447e07,hum
штык,351,10,#d6a3c5,unit$
пластинка,350,10,#8bd31e,tool
гарус,350,10,#dc7886,stuff
телок,347,10,#425f92,animal
праздник,347,10,#34e1e1,action
гамма,346,10,black,other
учитель,346,10,#447e07,hum
сережка,346,10,#9a25d8,access
арбуз,346,10,#e5935c,plant
поп,345,10,#8bd31e,tool
мел,344,10,#67274b,stuff/tool
туша,344,10,#447e07,hum
сланцы,344,10,black,other
бутон,343,10,black,other
пузырь,337,10,#447e07,hum
футляр,337,10,#8bd31e,tool
бисер,335,10,black,other
штанишки,332,10,black,other
ботинок,330,10,#608ab4,tool:cloth:@boot
штоф,330,10,#42c2b7,unit
слеза,329,10,#dc7886,stuff
смола,328,10,#447e07,hum
самолет,328,10,#7e7174,tool:transp
молодец,326,10,#447e07,hum
прямоугольник,326,10,#75e7c1,sign
коршун,326,10,#425f92,animal
рана,326,10,black,other
избушка,325,10,black,other
палач,324,10,#447e07,hum
столбик,324,10,#337194,form
милиция,324,10,#af7d78,org
шлык,320,10,black,other
эмиссия,319,10,black,other
тридцатка,319,10,black,other
душа,319,10,#447e07,hum
рота,319,10,#af7d78,org
борщ,318,10,#ce8a26,stuff/food/liq/блюдо
пищуха,318,10,black,other
попугай,317,10,#1850c2,hum$
пшеница,317,10,#e5935c,plant
сундук,315,10,#0fed77,tool/tool:furn
удостоверение,315,10,#13fd9b,doc
список,315,10,#0bf228,text
сумочка,312,10,black,other
пленка,310,10,#dc7886,stuff
сурик,309,10,#dc7886,stuff
ярлык,309,10,#076c24,word/speech
способ,309,10,#3da847,asp
ластовица,309,10,black,other
похороны,308,10,#34e1e1,action
она,308,10,black,other
мазок,307,10,#883efb,Sres
лоб,307,10,#447e07,hum
фасоль,307,10,#e5935c,plant
крышка,306,10,#7e335c,be:disapp
диктатура,305,10,black,other
пакет,305,10,#8bd31e,tool
олень,304,10,#425f92,animal
лысина,303,10,#3ae1ff,space
копье,302,10,#409a26,money
портфель,302,10,#8bd31e,tool
курточка,302,10,black,other
портвейн,301,10,#df96be,stuff/food/liq
восход,298,10,#72b286,time
томат,296,10,#e5935c,plant
доломан,296,10,black,other
ком,293,10,black,other
мадьяр,293,10,#dda730,hum:etn
спец,292,10,#447e07,hum
невеста,291,10,#fa0f2e,hum:kin$/hum
ноздря,291,10,black,other
бычок,291,10,#0192d4,thing
размягчение,290,10,black,other
томик,288,10,black,other
седло,287,10,#337194,form
ушко,287,10,#9f4193,stuff/food
точечка,286,10,black,other
рубашечка,284,10,black,other
вяз,284,10,#e5935c,plant
чашка,283,10,#337194,form
мед,282,10,#df96be,stuff/food/liq
кремль,281,10,#ef4f5f,constr/space
бук,280,10,#e5935c,plant
штаб,280,10,#fb6d69,org/space
половина,279,10,#45b139,hum:kin
командарм,279,10,#1be049,hum/armpos
ручища,278,10,black,other
зуб,278,10,#8bd31e,tool
комочек,278,10,black,other
пуговица,277,10,#8bd31e,tool
пол,276,10,#3ae1ff,space
марево,275,10,#dc7886,stuff
сгусток,275,10,black,other
шпион,275,10,#447e07,hum
сандалия,275,10,black,other
жесть,274,10,#dc7886,stuff
лук,274,10,#e5935c,plant
полымя,273,10,#dc7886,stuff
дно,273,10,black,other
ромб,272,10,#75e7c1,sign
село,272,10,#3ae1ff,space
фартук,272,10,#8bd31e,tool
туника,272,10,#966df4,tool:cloth
погост,271,10,#3ae1ff,space
гарнизон,271,10,#fb6d69,org/space
отделка,268,10,#600d96,impact
пачка,268,10,#966df4,tool:cloth
столовая,268,10,#af7d78,org
интернационал,267,10,#a2465b,workmus
подбой,267,10,#dc7886,stuff
жижа,266,10,#c83e15,stuff/liq
портьера,266,10,#fd0d94,tool:штора
верба,266,10,#e5935c,plant
тафта,265,10,#dc7886,stuff
лацкан,265,10,black,other
буй,265,10,#8bd31e,tool
вставка,263,10,#591e96,put
сетка,263,10,#8bd31e,tool
ржавчина,263,10,#447e07,hum
тога,262,10,#966df4,tool:cloth
штора,260,10,#fd0d94,tool:штора
отметина,260,10,#75e7c1,sign
хохолок,257,10,black,other
джемпер,257,10,#966df4,tool:cloth
рейтузы,256,10,#966df4,tool:cloth
варежка,256,10,#966df4,tool:cloth
неделя,256,10,#34e1e1,action
доброволец,255,10,#447e07,hum
парча,255,10,#dc7886,stuff
темляк,255,10,#8bd31e,tool
посуда,255,10,#b2ed6f,tool:dish
передник,253,10,#5f8050,tool/tool:cloth$
венчик,253,10,#9a25d8,access
афиша,253,10,#0bf228,text
палочка,253,10,#ff2afa,living
десна,253,10,black,other
горошина,251,10,#ddac3b,fruit/food
косыночка,248,10,black,other
пигментация,247,10,black,other
змей,246,10,#447e07,hum
силуэт,245,10,#3ae1ff,space
стержень,245,10,black,other
вера,244,10,#e6e331,ment
кочет,244,10,#425f92,animal
занавесь,244,10,black,other
лакей,243,10,#447e07,hum
атаман,243,10,#447e07,hum
покров,242,10,#c0fefb,tool:@bedding
плат,242,10,#966df4,tool:cloth
капот,242,10,black,other
баррикада,242,10,#a24092,constr
всполох,241,10,black,other
тесто,241,10,#dc7886,stuff
шлем,240,10,#5f8050,tool/tool:cloth$
кедр,239,10,#e5935c,plant
разведка,238,10,#af7d78,org
губерния,237,10,#3ae1ff,space
лагерь,237,10,#9bf24f,group
минерал,237,10,#d33df9,stone
гиматий,237,10,black,other
ус,237,10,#4a0010,hair
полог,236,10,#8bd31e,tool
обувь,236,10,black,other
облак,236,10,black,other
м,235,10,black,other
пожарный,235,10,#561de1,hum/prof
присяга,234,10,#34e1e1,action
шуба,233,10,#ec61ce,hair$
царевна,233,10,#447e07,hum
юбочка,233,10,black,other
денечек,232,10,black,other
этикетка,232,10,#75e7c1,sign
кусочек,232,10,black,other
фуляр,231,10,#dc7886,stuff
стул,230,10,#dc7886,stuff
ермолка,230,10,#966df4,tool:cloth
ветер,230,10,#336b9b,weather
брюшко,230,10,black,other
богатырь,229,10,#447e07,hum
влага,229,10,#dc7886,stuff
пальтишко,229,10,black,other
жабра,228,10,black,other
шарфик,228,10,black,other
делибаш,227,10,black,other
сильвин,226,10,black,other
сноп,224,10,black,other
вагончик,223,10,#81f528,constr:@hut
лоза,223,10,#337194,form
юшка,223,10,black,other
интервенция,223,10,#c38ade,воздействие?
это,222,10,black,other
личинка,222,10,#425f92,animal
соцветие,222,10,black,other
спина,221,10,black,other
разъезд,220,10,#3ae1ff,space
перышко,220,10,#ec61ce,hair$
потоп,220,10,#336b9b,weather
семя,220,10,#dc7886,stuff
забор,219,10,#f023b4,poss
камушек,217,10,black,other
птичка,217,10,#75e7c1,sign
ставня,216,10,black,other
зоря,216,10,black,other
шиповник,216,10,#df96be,stuff/food/liq
кибитка,216,10,#7e7174,tool:transp
татарин,214,10,#dda730,hum:etn
складка,214,10,#f3ca9a,внешний вид
прыщ,214,10,black,other
сват,214,10,#45b139,hum:kin
бусина,213,10,black,other
блуза,213,10,#966df4,tool:cloth
год,212,10,#20b9b5,time:age
страна,212,10,#3ae1ff,space
элемент,211,10,#dc7886,stuff
задок,210,10,black,other
светодиод,210,10,black,other
рубашоночка,210,10,black,other
утес,210,10,#3ae1ff,space
бордо,210,10,black,other
костянка,209,10,#76a8e2,fruit
ил,209,10,#dc7886,stuff
наволочка,208,10,#9cbc12,tool:@bedding/linen
оттенение,208,10,black,other
комбинезон,208,10,#966df4,tool:cloth
просвет,207,10,#7af043,?
юность,207,10,#20b9b5,time:age
петушки,207,10,black,other
сопли,206,10,#dc7886,stuff
кисет,206,10,black,other
девочка,206,10,#2a73c8,animal$
утро,205,10,#34e1e1,action
купол,205,10,black,other
янтарь,205,10,#dc7886,stuff
сундучок,204,10,black,other
солнушко,204,10,black,other
инициал,203,10,black,other
дружина,203,10,#9bf24f,group
диктатор,203,10,#447e07,hum
гусар,202,10,#425f92,animal
руда,202,10,#dc7886,stuff
сорочка,201,10,#966df4,tool:cloth
урал,201,10,black,other
литера,200,10,#1ae426,letter
ассигнация,200,10,#761434,money:banknote
тапочек,200,10,black,other
сосуд,199,10,#b2ed6f,tool:dish
трасса,198,10,#3ae1ff,space
остров,198,10,#3ae1ff,space
русский,198,10,#dda730,hum:etn
брусника,197,10,#e5935c,plant
мастика,197,10,#dc7886,stuff
краса,197,10,black,other
диапазон,197,10,#840459,param
лопасть,195,10,black,other
строчка,195,10,#600d96,impact
фланель,195,10,#dc7886,stuff
комод,195,10,#140922,hum$@
народ,195,10,black,other
борец,195,10,#447e07,hum
мох,195,10,#e5935c,plant
босоножка,194,10,#447e07,hum
померанец,194,10,#e5935c,plant
червяк,193,10,#8bd31e,tool
крестины,192,10,#34e1e1,action
дипломатия,192,10,black,other
сектор,191,10,black,other
звонарь,191,10,#447e07,hum
инженер,191,10,#561de1,hum/prof
толща,190,10,#337194,form
риза,190,10,#966df4,tool:cloth
сверток,189,10,black,other
ломоть,188,10,#efd59c,food
движение,188,10,#3f8a34,move
штукатурка,187,10,#dc7886,stuff
пулеметчик,187,10,#561de1,hum/prof
крап,187,10,black,other
аскер,186,10,black,other
корсаж,186,10,black,other
балдахин,186,10,black,other
резинка,185,10,#be746a,pattern
трактор,185,10,#262d61,tool:transp/tool:device:@machine
корешок,185,10,#447e07,hum
дьвица,185,10,black,other
очки,185,10,#8bd31e,tool
испания,184,10,black,other
задача,184,10,#e6e331,ment
гравий,183,10,#dc7886,stuff
ад,182,10,#3ae1ff,space
стеклышко,182,10,#dc7886,stuff
шишок,182,10,black,other
шубка,182,10,black,other
радиация,181,10,black,other
пластмасса,179,10,#dc7886,stuff
крепость,179,10,#840459,param
пика,179,10,#4e6a0e,inter$
время,179,10,#16069c,time:period
плитка,178,10,#abb615,tool:device
эполета,178,10,black,other
женщина,177,10,#447e07,hum
комбриг,177,10,#1be049,hum/armpos
вихорь,177,10,black,other
мы,177,10,black,other
туземец,176,10,#447e07,hum
включение,175,10,black,other
хлеб,175,10,#bbccb0,poss$
месиво,175,10,#205f87,stuff/food:fodder
латвия,174,10,black,other
венок,172,10,black,other
ручеек,172,10,black,other
табло,172,10,#abb615,tool:device
ступень,171,10,#d401b6,sound
бонапарт,171,10,black,other
речь,171,10,#f69a42,speech
поезд,170,10,#7e7174,tool:transp
дввица,170,10,black,other
рубина,169,10,black,other
рис,169,10,#e5935c,plant
трихофитон,169,10,black,other
отпечаток,168,10,#3ae1ff,space
бережок,168,10,black,other
балахон,167,10,#966df4,tool:cloth
куропатка,167,10,#425f92,animal
лик,167,10,#f3ca9a,внешний вид
пыльник,166,10,#966df4,tool:cloth
провод,165,10,#8bd31e,tool
обводка,165,10,#41d68f,глагол
пальчик,165,10,black,other
светлячок,165,10,#425f92,animal
колготки,164,10,#966df4,tool:cloth
марокен,164,10,#dc7886,stuff
арм,164,10,black,other
селен,162,10,black,other
совет,162,10,#af7d78,org
картуз,161,10,#8bd31e,tool
гусь,161,10,#1850c2,hum$
чемодан,161,10,#8bd31e,tool
каменья,160,10,black,other
коврик,160,10,black,other
баба,159,10,#447e07,hum
раскраска,159,10,#bae5fb,workart
номер,159,10,#c948a5,sign/tool
горизонт,159,10,#3ae1ff,space
халцедон,159,10,#c3eb54,jewel
крапина,159,10,black,other
вина,158,10,black,other
маяк,158,10,#447e07,hum
оружие,158,10,#0df16c,tool:weapon
клок,158,10,black,other
обертка,157,10,black,other
снегирь,157,10,#425f92,animal
блок,157,10,#abb615,tool:device
шатер,157,10,#a24092,constr
демократ,156,10,#447e07,hum
помост,155,10,#3aba72,constr:настил
пометка,155,10,#75e7c1,sign
окисел,154,10,#dc7886,stuff
красавица,154,10,black,other
земляника,154,10,#e5935c,plant
калянус,153,10,black,other
серп,153,10,#337194,form
дублет,152,10,#55ef67,impact?
пироп,151,10,#c3eb54,jewel
долина,151,10,#3ae1ff,space
страница,151,10,#16069c,time:period
существо,151,10,#809262,hum$/animal$/hum:supernat$/living
мускулатура,150,10,black,other
охрана,149,10,black,other
каемочка,149,10,black,other
петербург,149,10,black,other
режим,149,10,#7bde0d,time?
донышко,148,10,black,other
оттиск,148,10,#0bf228,text
рубашонка,147,10,black,other
вкрапление,147,10,#5c0494,изменение положения?
мост,147,10,#8bd31e,tool
мафория,145,10,black,other
кардинал,145,10,#447e07,hum
танк,144,10,#7e7174,tool:transp
муть,144,10,#dc7886,stuff
клеймо,143,10,#75e7c1,sign
пепел,142,10,#dc7886,stuff
жилетка,142,10,#966df4,tool:cloth
блокнот,142,10,#7cab58,book
клапан,142,10,#8bd31e,tool
комок,140,10,black,other
гвардеец,140,10,#447e07,hum
слюна,139,10,#c83e15,stuff/liq
попона,139,10,#117c4e,tool:cloth$
перилла,139,10,black,other
кронштадт,139,10,black,other
цех,137,10,#af7d78,org
финифть,137,10,#bae5fb,workart
агент,137,10,#447e07,hum
письменство,136,10,black,other
подкова,135,10,#337194,form
дыра,134,10,#3ae1ff,space
тын,134,10,#a24092,constr
сон,134,10,#76c7fc,physiol
табличка,134,10,black,other
рыцарь,134,10,#447e07,hum
штамп,134,10,#75e7c1,sign
земл,133,10,black,other
клуб,133,10,#febcc0,constr:@build
волчаика,133,10,black,other
страх,133,10,#d353af,quant:max
товарищ,132,10,#447e07,hum
цилиндр,132,10,#966df4,tool:cloth
сол,132,10,black,other
джигит,131,10,#447e07,hum
дворец,131,10,#a24092,constr
клещик,131,10,black,other
кунтуш,131,10,#966df4,tool:cloth
отлас,130,10,black,other
крылышко,129,10,black,other
просо,128,10,#e5935c,plant
кепи,128,10,#966df4,tool:cloth
монисто,128,10,#9a25d8,access
посиделки,128,10,black,other
облачко,128,10,black,other
наклейка,128,10,#8bd31e,tool
гематит,128,10,#c3eb54,jewel
волчаик,128,10,black,other
том,127,10,#0bf228,text
цвътами,127,10,black,other
бочок,126,10,black,other
штандарт,126,10,#817a56,sign:знамя
древко,125,10,black,other
подливка,125,10,#c83e15,stuff/liq
печатьми,125,10,black,other
храм,125,10,#3ae1ff,space
штемпель,124,10,#75e7c1,sign
венец,124,10,#9a25d8,access
оболочка,124,10,#dc7886,stuff
надкрылья,124,10,black,other
мячик,123,10,black,other
путь,123,10,#3da847,asp
пара,123,10,#f51346,schoolmark
бугор,123,10,#aebfc2,form/space
скуфья,122,10,black,other
ментик,122,10,#966df4,tool:cloth
осадка,122,10,#840459,param
жучок,122,10,#8bd31e,tool
обмазка,122,10,#dc7886,stuff
карандашик,121,10,black,other
спинка,121,10,#8bd31e,tool
жук,121,10,#1850c2,hum$
войлок,121,10,#dc7886,stuff
пижама,120,10,#966df4,tool:cloth
галактика,120,10,#3578fb,space/astr
сеть,120,10,#8bd31e,tool
печатник,120,10,#561de1,hum/prof
палочник,120,10,black,other
голубь,120,10,#1850c2,hum$
ты,120,10,black,other
доля,120,10,black,other
латыш,119,10,#dda730,hum:etn
человечек,119,10,black,other
плавки,119,10,#966df4,tool:cloth
трубка,118,10,#8bd31e,tool
шпинель,118,10,#c3eb54,jewel
цввт,118,10,black,other
армеец,118,10,#1be049,hum/armpos
вензель,118,10,#be746a,pattern
яр,117,10,#3ae1ff,space
серия,117,10,#0bf228,text
кут,117,10,black,other
осина,117,10,#e5935c,plant
расцветка,116,10,#2effcc,color
поля,116,10,black,other
байрон,116,10,black,other
литература,116,10,black,other
панна,116,10,#447e07,hum
зов,116,10,#f69a42,speech
крылечко,115,10,black,other
мальва,115,10,#e5935c,plant
турмалин,115,10,black,other
пинкертон,115,10,black,other
рефлекс,115,10,#76c7fc,physiol
кепка,115,10,#966df4,tool:cloth
мешок,115,10,#447e07,hum
жила,114,10,#447e07,hum
гвоздик,114,10,#337194,form
чобот,114,10,black,other
полушубок,114,10,#966df4,tool:cloth
пропуск,114,10,#3ae1ff,space
царапина,114,10,#3ae1ff,space
архалук,113,10,#966df4,tool:cloth
цве,113,10,black,other
велосипед,113,10,#7e7174,tool:transp
хламида,113,10,#966df4,tool:cloth
врата,113,10,#0b0870,tool/constr
ива,113,10,#e5935c,plant
светило,113,10,#447e07,hum
туркестан,112,10,black,other
рассвет,112,10,#72b286,time
изображение,112,10,#bae5fb,workart
зев,112,10,black,other
ручей,112,10,#de1907,space/reservoir
рай,112,10,#3ae1ff,space
виноматериал,112,10,black,other
что,112,10,black,other
пестрядь,111,10,#dc7886,stuff
чернило,111,10,black,other
стык,111,10,#3ae1ff,space
ребенок,111,10,#447e07,hum
мужчина,111,10,#447e07,hum
кузница,111,10,#3ae1ff,space
смута,109,10,#d0078a,inter
величина,109,10,#447e07,hum
колено,109,10,#3f8a34,move
кле,109,10,black,other
рабочий,109,10,#561de1,hum/prof
клеточка,109,10,black,other
монгол,109,10,#dda730,hum:etn
рама,109,10,black,other
конус,109,10,#337194,form
чудовище,108,10,#447e07,hum
днище,108,10,black,other
лохмотья,108,10,black,other
осень,107,10,#dd7995,time/time:season
окаймление,107,10,black,other
чувяк,107,10,black,other
лапоть,107,10,#608ab4,tool:cloth:@boot
рогатка,107,10,#8bd31e,tool
зигзаг,107,10,#337194,form
организация,106,10,#af7d78,org
хлопья,106,10,#9f4193,stuff/food
лед,106,10,#dc7886,stuff
пароход,106,10,#7e7174,tool:transp
отвод,106,10,#3f8a34,move
уксус,106,10,#c83e15,stuff/liq
рог,105,10,#77baaf,форма
бордюр,105,10,#ef4f5f,constr/space
кожура,105,10,#dc7886,stuff
маркер,104,10,#e67cc0,tool:instr:@implement
спица,104,10,black,other
прут,103,10,#0192d4,thing
зернышко,103,10,black,other
диванчик,103,10,black,other
обелиск,103,10,#4f45df,workart:скульт
бязь,103,10,#dc7886,stuff
улыбка,102,10,#a2358d,manif:emot
балтика,102,10,black,other
светляк,102,10,#425f92,animal
вязь,102,10,black,other
арка,102,10,#a24092,constr
линейка,101,10,#7e7174,tool:transp
шкала,101,10,black,other
клещ,101,10,#425f92,animal
витязь,101,10,#447e07,hum
крашенина,101,10,#dc7886,stuff
редиска,101,10,#ddac3b,fruit/food
эполет,101,10,black,other
венгрия,100,10,black,other
письмо,100,10,#3da847,asp
семья,100,10,#447e07,hum
дрожжи,100,10,#142b7e,stuff/living
камелия,100,10,#e5935c,plant
вертолет,100,10,#7e7174,tool:transp
варвар,100,10,#447e07,hum
микроклин,100,10,black,other
столик,100,10,#596757,tool:furn
пространство,100,10,#3ae1ff,space
я,99,10,#447e07,hum
карапдаш,99,10,black,other
дело,99,10,#af7d78,org
состав,99,10,#7e7174,tool:transp
грунт,99,10,#dc7886,stuff
бор,99,10,#dc7886,stuff
глазурь,99,10,#9f4193,stuff/food
горница,99,10,#f25962,room
червячок,98,10,black,other
подштанники,98,10,#966df4,tool:cloth
постамент,98,10,black,other
дерматин,98,10,#dc7886,stuff
тюбетейка,98,10,#966df4,tool:cloth
завеса,98,10,#f3ca9a,внешний вид
узел,98,10,#8bd31e,tool
лужица,98,10,black,other
гардина,98,10,#fd0d94,tool:штора
барабан,97,10,#8bd31e,tool
прослоек,97,10,black,other
студенчество,97,10,#16069c,time:period
ведро,97,10,#42c2b7,unit
техник,97,10,#561de1,hum/prof
кантик,97,10,black,other
бородавка,97,10,black,other
запись,97,10,#13fd9b,doc
патриотизм,97,10,black,other
панев,97,10,black,other
окошечко,97,10,black,other
калиночка,97,10,black,other
глебовна,97,10,black,other
картон,97,10,#bae5fb,workart
потек,97,10,#3ae1ff,space
костел,96,10,#a24092,constr
таблица,96,10,#0bf228,text
опушка,96,10,#3ae1ff,space
астрахань,96,10,black,other
индикатор,96,10,#dc7886,stuff
парик,96,10,#8bd31e,tool
кристаллик,95,10,black,other
чайник,95,10,#447e07,hum
спутник,95,10,#abb615,tool:device
пионер,95,10,#447e07,hum
центр,95,10,#af7d78,org
хозяйственник,95,10,#447e07,hum
шкатулочка,95,10,black,other
содержимое,95,10,#7af043,?
епанча,95,10,#966df4,tool:cloth
грива,95,10,#3ae1ff,space
тоталитаризм,95,10,black,other
подол,94,10,black,other
вал,94,10,#337194,form
группа,94,10,#9bf24f,group
плен,94,10,black,other
ложка,94,10,#eee91a,tool:mus
позолота,94,10,#dc7886,stuff
мьди,94,10,black,other
живот,94,10,#7e29d5,be:exist
ложе,94,10,#3ae1ff,space
замша,93,10,#dc7886,stuff
шорты,93,10,#966df4,tool:cloth
дьвушка,93,10,black,other
озеро,93,10,#de1907,space/reservoir
чулочек,93,10,black,other
мачта,93,10,#8bd31e,tool
канна,92,10,#f89bea,plant:@flower
доломит,92,10,black,other
буек,92,10,black,other
террорист,92,10,#447e07,hum
капор,92,10,#966df4,tool:cloth
кнопочка,92,10,black,other
вышка,92,10,#a24092,constr
ряса,92,10,#966df4,tool:cloth
желчь,92,10,#c674fc,psych:emot
десяток,92,10,#a51151,ciph$
интеллигенция,92,10,black,other
холст,92,10,#dc7886,stuff
полотенце,92,10,#6b36aa,linen/tool
рекрут,91,10,#561de1,hum/prof
стручок,91,10,#76a8e2,fruit
очипок,91,10,black,other
плуг,91,10,#6a2897,asp:move
облачение,91,10,black,other
военлет,91,10,black,other
штриховка,91,10,black,other
галоша,91,10,black,other
жеребец,91,10,#1850c2,hum$
теленок,91,10,#425f92,animal
ссадина,91,10,black,other
хоровод,91,10,black,other
подруга,91,10,#447e07,hum
кувшин,90,10,#b2ed6f,tool:dish
весло,90,10,#b44271,tool:instr
ворон,90,10,#425f92,animal
ребро,90,10,#3ae1ff,space
фестон,90,10,black,other
шитье,90,10,#a46479,impact:creat
королева,90,10,#447e07,hum
наполеон,90,10,black,other
мех,90,10,#dc7886,stuff
кудри,90,10,#262beb,hair/form
униформа,90,10,black,other
флигель,89,10,#d3a1ae,room/constr
окошко,89,10,#0d039a,tool/space
конверт,89,10,#82da13,tool:cloth$/tool
сари,89,10,#966df4,tool:cloth
ожерелие,89,10,black,other
квас,89,10,#df96be,stuff/food/liq
буфер,88,10,#447e07,hum
фольга,88,10,#dc7886,stuff
пуговка,88,10,#337194,form
нимб,88,10,black,other
мандат,88,10,#13fd9b,doc
враг,88,10,#512e22,hum:supernat
горох,87,10,#e5935c,plant
ночь,87,10,#72b286,time
тьма,87,10,#745fbd,numcoll
паяц,87,10,#447e07,hum
бой,87,10,#447e07,hum
сердечко,87,10,#337194,form
мозг,86,10,#e6e331,ment
замок,86,10,#3ae1ff,space
ореол,86,10,#7818ff,light
вьюрок,86,10,#425f92,animal
конго,86,10,black,other
пчела,86,10,#425f92,animal
астра,86,10,#e5935c,plant
аппарат,86,10,#9bf24f,group
доктор,85,10,#447e07,hum
вихор,85,10,#337194,form
люминофор,85,10,black,other
ковбойка,85,10,black,other
прослой,85,10,black,other
маникюр,85,10,black,other
борт,85,10,#3ae1ff,space
пес,84,10,#1850c2,hum$
веер,84,10,#337194,form
пора,84,10,#72b286,time
пограничник,84,10,#561de1,hum/prof
плита,84,10,#3ae1ff,space
повойник,84,10,#966df4,tool:cloth
укладка,84,10,#8bd31e,tool
поднос,84,10,#3f8a34,move
глазище,83,10,black,other
партизанка,83,10,black,other
спорт,83,10,#ef4998,sport
окунь,83,10,#611874,animal:@fish/food
винкель,83,10,black,other
ремешок,83,10,#9a25d8,access
зубец,83,10,black,other
прутик,83,10,black,other
дощечка,83,10,black,other
клубок,82,10,#298e20,physiol:@painful
частица,82,10,black,other
строй,82,10,#337194,form
растение,82,10,#e5935c,plant
опояска,82,10,black,other
полчище,82,10,#9bf24f,group
отношение,82,10,#0bf228,text
овал,82,10,#8ec6f9,form:geom/space
чаша,82,10,#f2a7be,space/form
дъвушка,81,10,black,other
кашне,81,10,black,other
комсостав,81,10,black,other
подтяжка,81,10,black,other
брага,81,10,#df96be,stuff/food/liq
имя,81,10,#9ce166,word
сарафанчик,81,10,black,other
покрытие,81,10,#67274b,stuff/tool
лотос,81,10,#e5935c,plant
напиток,81,10,#df96be,stuff/food/liq
гриф,81,10,#0bf228,text
вид,81,10,#e6e331,ment
одеяльце,81,10,black,other
телушка,81,10,black,other
телец,81,10,#425f92,animal
сыроежка,81,10,#e5935c,plant
пуля,81,10,#bb817d,tool:@shell
кварц,80,10,#dc7886,stuff
пяток,80,10,black,other
шейка,80,10,black,other
акварель,80,10,#bae5fb,workart
клюква,80,10,#e5935c,plant
витье,80,10,black,other
вырубка,80,10,#3ae1ff,space
фетр,80,10,#dc7886,stuff
санитарка,80,10,black,other
громада,80,10,#3da847,asp
скула,80,10,black,other
военачальник,80,10,#1be049,hum/armpos
порфира,80,10,#966df4,tool:cloth
разбойник,80,10,#447e07,hum
месть,79,10,#8ff964,воздействие на человека
китайка,79,10,#e5935c,plant
шампанское,79,10,#df96be,stuff/food/liq
взрыв,79,10,#0f0ae2,manif
подтек,79,10,#3ae1ff,space
жакет,79,10,#966df4,tool:cloth
сироп,79,10,#df96be,stuff/food/liq
мельница,79,10,#abb615,tool:device
раковина,79,10,#3ae1ff,space
паника,79,10,#c674fc,psych:emot
ремень,79,10,#8bd31e,tool
овца,78,10,#425f92,animal
шут,78,10,#447e07,hum
пленный,78,10,#447e07,hum
лебедь,78,10,#425f92,animal
сальдо,78,10,#325ef6,остаток
клавиша,78,10,#8bd31e,tool
князь,77,10,#447e07,hum
сахар,77,10,#dc7886,stuff
пилотка,77,10,#966df4,tool:cloth
шафер,77,10,#447e07,hum
букет,77,10,black,other
нужда,77,10,#ddca72,отсутствие
генштабист,77,10,black,other
гул,77,10,#d401b6,sound
коготь,77,10,black,other
масонство,77,10,black,other
фонтан,77,10,#4b4579,tool:device/constr
бочка,77,10,#706864,move/move:fig
огнетушитель,76,10,#abb615,tool:device
колер,76,10,#dc7886,stuff
зад,76,10,#3ae1ff,space
семафор,76,10,#1c5269,tool/code
ветчина,76,10,#31e9e9,stuff/food/изделие
амбар,76,10,#a24092,constr
бумажник,76,10,#561de1,hum/prof
шкаф,76,10,#abb615,tool:device
листик,76,10,black,other
кроветворение,76,10,black,other
обрамление,76,10,#600d96,impact
ножны,76,10,black,other
рожица,76,10,black,other
военлеты,76,10,black,other
пучок,76,10,black,other
си,76,10,black,other
девкы,76,10,black,other
ноготок,75,10,black,other
гли,75,10,black,other
рычаг,75,10,#b44271,tool:instr
пирамида,75,10,#8bd31e,tool
рать,75,10,#d0078a,inter
рукоятка,75,10,#8bd31e,tool
бес,75,10,#447e07,hum
вещь,75,10,#6d50ee,workart/workmus/workdram/workcin/text
плечо,75,10,#3ae1ff,space
верблюд,75,10,#425f92,animal
люлька,75,10,#8bd31e,tool
тес,75,10,black,other
подполье,75,10,#8a590f,room/space
воинство,74,10,black,other
дипломат,74,10,#8bd31e,tool
кед,74,10,black,other
буря,74,10,#0f0ae2,manif
кашемир,74,10,#dc7886,stuff
чешуя,74,10,#ec61ce,hair$
плица,74,10,black,other
комбайн,74,10,#e3a630,tool:device:@machine
журналист,74,10,#561de1,hum/prof
моча,74,10,#c83e15,stuff/liq
особняк,74,10,#a24092,constr
орд,74,10,black,other
дагестан,73,10,black,other
палка,73,10,#8bd31e,tool
плед,73,10,#c0fefb,tool:@bedding
шов,73,10,#3ae1ff,space
полосочка,73,10,black,other
каска,73,10,#5f8050,tool/tool:cloth$
начальник,73,10,#447e07,hum
герб,73,10,#75e7c1,sign
агрессия,73,10,black,other
угорь,73,10,#611874,animal:@fish/food
