noun,krasnyj,krasnovatyj,colour,code
крест,30784,10,#75e7c1,sign
партизан,29955,10,#561de1,hum/prof
командир,29241,10,#447e07,hum
террор,29236,10,#4fae4f,behav
линия,28847,10,#42c2b7,unit
армия,27955,10,black,other
клевер,27086,10,#2873cd,plant/flower/food:fodder
кирпич,26390,10,#75e7c1,sign
чернила,25349,10,#c83e15,stuff/liq
лента,24284,10,#f69eb8,workcin
словцо,24179,10,#9ce166,word
войско,23865,10,#af7d78,org
профессура,21139,10,black,other
флажок,20844,10,#30ac6e,sign/form
сукно,19863,10,#dc7886,stuff
часть,19516,10,#f023b4,poss
галстук,18737,10,#9a25d8,access
кровь,18494,10,#c83e15,stuff/liq
рубаха,18044,10,#966df4,tool:cloth
рыба,17292,10,#0bf228,text
платок,17016,10,#472532,linen/access
повязка,16659,10,#8bd31e,tool
волчанка,16389,10,#eee810,disease
роза,15581,10,#bae5fb,workart
строка,15504,10,#0bf228,text
бант,15204,10,#9a25d8,access
гигант,14694,10,#447e07,hum
полотнище,14449,10,black,other
смородина,13960,10,#e5935c,plant
перец,13561,10,#e5935c,plant
угол,13300,10,#3ae1ff,space
область,13102,10,#3ae1ff,space
полевка,12625,10,#425f92,animal
солнышко,12457,10,#447e07,hum
платье,12356,10,#966df4,tool:cloth
девушка,12027,10,#fa0f2e,hum:kin$/hum
ракета,11941,10,#7e7174,tool:transp
петух,11836,10,#1850c2,hum$
боец,11737,10,#447e07,hum
косынка,11314,10,#966df4,tool:cloth
фосфор,11097,10,#dc7886,stuff
рубашка,10783,10,#dc7886,stuff
губа,10540,10,#f25962,room
день,10359,10,#16069c,time:period
бархат,10181,10,#dc7886,stuff
следопыт,10052,10,#447e07,hum
материя,9841,10,#dc7886,stuff
шапка,9193,10,#0bf228,text
ленточка,8767,10,black,other
директор,8476,10,#447e07,hum
поле,8401,10,#3ae1ff,space
конница,8295,10,#9bf24f,group
отряд,8205,10,#9bf24f,group
ядро,8177,10,#8bd31e,tool
фонарь,8133,10,#ac27ab,tool:device:@light
буква,7800,10,#e6e331,ment
тряпка,7798,10,#447e07,hum
гвардия,7589,10,black,other
сторона,7567,10,#54ab70,asp:ment
шапочка,7207,10,black,other
плащ,7191,10,#966df4,tool:cloth
товар,7135,10,#0192d4,thing
икра,7046,10,#9f4193,stuff/food
конь,6999,10,#8bd31e,tool
ковер,6276,10,#dc7886,stuff
полк,6220,10,#af7d78,org
пояс,6192,10,#3ae1ff,space
гвоздика,6080,10,#e5935c,plant
мак,5990,10,#dc7886,stuff
шелк,5949,10,#dc7886,stuff
нитка,5923,10,#337194,form
околыш,5921,10,black,other
офицер,5780,10,#fefbb8,tool/tool:game
опасность,5665,10,black,other
печать,5633,10,#75e7c1,sign
каление,5386,10,#80d5b9,temper$
стяг,5338,10,#817a56,sign:знамя
обоз,5273,10,black,other
книжечка,5180,10,black,other
фронт,4979,10,#3ae1ff,space
юрта,4945,10,#a24092,constr
колпак,4936,10,#447e07,hum
одежда,4932,10,#dc7886,stuff
кафтан,4909,10,#966df4,tool:cloth
профсоюз,4850,10,#cfb8f6,org/group
чайхана,4835,10,#af7d78,org
бумага,4806,10,#dc7886,stuff
шарик,4774,10,#425f92,animal
черепица,4706,10,black,other
яблоко,4676,10,#ddac3b,fruit/food
феска,4657,10,#966df4,tool:cloth
конник,4604,10,#447e07,hum
вымпел,4599,10,#75e7c1,sign
кушак,4556,10,#9a25d8,access
граница,4538,10,#179aa3,предел
крыло,4502,10,black,other
воин,4439,10,#561de1,hum/prof
шлам,4428,10,black,other
фуражка,4395,10,#966df4,tool:cloth
лак,4349,10,#dc7886,stuff
ткань,4326,10,#dc7886,stuff
мундир,4303,10,#966df4,tool:cloth
светофильтр,4290,10,black,other
штаны,4286,10,#966df4,tool:cloth
шарф,4226,10,#174670,tool:cloth/access
лампас,4207,10,black,other
сигнал,4196,10,#f69a42,speech
скатерть,4167,10,#5e7dff,linen
платочек,4068,10,black,other
дом,4021,10,#af7d78,org
мышца,3962,10,black,other
кхмер,3939,10,#dda730,hum:etn
девка,3895,10,#447e07,hum
диплом,3851,10,#0bf228,text
яйцо,3837,10,#efd59c,food
воротник,3834,10,black,other
стол,3816,10,#3ae1ff,space
конец,3805,10,#7e335c,be:disapp
карлик,3799,10,#3578fb,space/astr
крыльцо,3766,10,black,other
слово,3743,10,#0bf228,text
эмаль,3733,10,#dc7886,stuff
столица,3708,10,#3ae1ff,space
петроград,3659,10,black,other
комиссар,3636,10,#561de1,hum/prof
командование,3634,10,black,other
доска,3629,10,#8bd31e,tool
москва,3612,10,black,other
сафьян,3537,10,#dc7886,stuff
сапог,3508,10,#608ab4,tool:cloth:@boot
сарафан,3502,10,#966df4,tool:cloth
кавалерия,3442,10,black,other
лисица,3440,10,#447e07,hum
зверь,3407,10,#1850c2,hum$
бригада,3348,10,#9bf24f,group
перо,3271,10,#b44271,tool:instr
казак,3264,10,#447e07,hum
стрелок,3263,10,#561de1,hum/prof
шея,3259,10,black,other
папка,3258,10,#45b139,hum:kin
солдат,3258,10,#447e07,hum
фронтовик,3208,10,#447e07,hum
раствор,3200,10,#dc7886,stuff
подкладка,3096,10,#dc7886,stuff
