noun,malenkij,kroshechnyj,colour,code
ранка,860,69,black,other
образок,836,54,black,other
полоска,820,92,black,other
оазис,811,110,#2f28fd,space
усилие,776,42,#5c64af,?
растение,773,83,#96ca56,plant
мушка,767,131,#708ce1,spot
клетушка,766,235,#4dfa58,room
плацдарм,765,231,#2f28fd,space
флигелек,765,80,black,other
скамейка,729,116,#3ed3ed,tool:furn/tool
цыпленок,720,41,#8bbbe1,animal
песчинка,684,105,black,other
радуга,678,42,#2f28fd,space
паровозик,662,75,black,other
зерно,646,59,#ac4605,food
часики,644,116,black,other
хата,628,43,black,other
значок,626,40,#23b4a1,sign
сказка,616,45,#75d18d,text
комок,612,57,black,other
лоскуток,611,43,black,other
насекомое,609,189,#8bbbe1,animal
червячок,608,52,black,other
закуток,596,126,#2f28fd,space
часы,592,134,#e98dd6,tool:device:@measur:metr
ломтик,589,109,black,other
шанс,555,89,black,other
палисадник,555,56,black,other
аппарат,540,41,#e2e6a3,group
лапка,532,60,#23b4a1,sign
флакончик,531,98,black,other
платочек,527,112,black,other
балкон,518,43,#2f28fd,space
сени,510,83,#4dfa58,room
движение,509,74,#95ba3f,move
член,503,50,#61c562,word
состояние,489,59,#7c01c1,psych/physiol
мальчуган,485,46,black,other
кулачка,479,43,black,other
блокнотик,476,57,black,other
личинка,474,64,#8bbbe1,animal
щелка,469,63,#2f28fd,space
муравей,439,42,#8bbbe1,animal
просвет,437,45,#5c64af,?
козырек,419,97,black,other
зайчонок,399,45,#8bbbe1,animal
лужайка,393,54,#2f28fd,space
морщинка,388,52,black,other
крепостца,383,62,black,other
буковка,380,65,black,other
слезинка,376,97,black,other
полуостров,355,41,#2f28fd,space
силуэт,354,59,#2f28fd,space
придаток,351,87,black,other
истина,348,126,black,other
каютка,340,74,black,other
губка,324,76,#74c0b1,tool
льдинка,313,56,black,other
флакон,303,43,#74c0b1,tool
меньшинство,297,268,black,other
уголек,290,66,black,other
семя,270,90,#eec5b0,stuff
копытце,262,64,black,other
подобие,260,42,black,other
туфелька,244,94,black,other
пылинка,235,60,black,other
пуговка,231,92,#f63392,form
микрофон,228,61,#74c0b1,tool
идейка,216,194,black,other
зрачок,209,53,black,other
надел,197,213,#2f28fd,space
башмачок,163,42,black,other
болонка,156,45,#8bbbe1,animal
туфля,149,74,black,other
реформа,144,75,#574806,изменение:каузация
минутка,136,42,black,other
песик,122,57,black,other
переживание,90,117,#12128b,psych:emot
веснушка,85,101,black,other
окурок,69,55,#d997de,thing
отражение,66,45,#403a2c,ment?
соринка,53,70,black,other
николка,49,86,black,other
фортепьяно,41,53,black,other
