noun,zolotoj,zolotistyj,colour,code
коронка,5547,10,#8814ea,tool
пластина,5420,10,#b176e8,form
франк,5395,10,#7111eb,money:banknote
электрод,5338,10,#8814ea,tool
деньги,5322,10,#093020,money
ключ,5265,10,#4a85e5,sign
сосуд,5225,10,#91d4cf,tool:dish
паритет,4863,10,black,other
печать,4858,10,#4a85e5,sign
позумент,4768,10,#95212d,stuff
трон,4735,10,#cf4675,tool:furn$/space
сон,4570,10,#0b0276,physiol
свадьба,4531,10,#32365e,action
карета,4336,10,#3d30d2,tool:transp
обращение,4301,10,#7fb8a9,word
кубок,4300,10,#536160,sign$
червонец,4273,10,#7111eb,money:banknote
риза,4244,10,#e43167,tool:cloth
ключик,4192,10,black,other
покрытие,4148,10,#ea7d38,stuff/tool
марка,4129,10,#7111eb,money:banknote
акция,4110,10,#057694,doc
портсигар,4087,10,#8814ea,tool
месторождение,4064,10,#1f05e5,space
пенсне,3915,10,#8814ea,tool
гривна,3824,10,#7111eb,money:banknote
дворец,3813,10,#b433f0,constr
предмет,3792,10,#ee3441,ment
обеспечение,3781,10,black,other
орел,3778,10,#f09f26,hum$
оклад,3623,10,black,other
минерализация,3607,10,black,other
проволока,3603,10,#95212d,stuff
самородок,3598,10,#42be89,hum
мост,3476,10,#8814ea,tool
глава,3338,10,#42be89,hum
статер,3255,10,black,other
медальон,3188,10,#794840,access
ожерелие,3157,10,black,other
посуда,2984,10,#91d4cf,tool:dish
мешок,2911,10,#42be89,hum
обруч,2906,10,#8814ea,tool
шлем,2889,10,#c9d549,tool/tool:cloth$
бляха,2832,10,#4a85e5,sign
книга,2830,10,#8c222c,text
ворота,2786,10,#b433f0,constr
престол,2759,10,#deb5ca,tool:furn
насечка,2716,10,#f2591a,space/pattern
яичко,2705,10,#85d1cd,food
стол,2678,10,#1f05e5,space
крестик,2629,10,black,other
стрела,2591,10,#3d30d2,tool:transp
маковка,2585,10,#7bab62,food/изделие
корень,2562,10,black,other
страница,2551,10,#2517af,time:period
детство,2517,10,#2517af,time:period
динар,2484,10,#7111eb,money:banknote
юбилей,2395,10,#32365e,action
труба,2363,10,#c161e7,tool:mus
пропорция,2303,10,#99b309,?
шнур,2282,10,#8814ea,tool
заем,2216,10,#b86daa,poss:приобретение
пряжка,2196,10,#4a85e5,sign
руб,2166,10,black,other
колесница,2145,10,#3d30d2,tool:transp
рамка,2137,10,#af43c8,предел
клад,2105,10,black,other
монометаллизм,2082,10,black,other
мечта,2062,10,#ee3441,ment
диадема,2035,10,#794840,access
часики,2022,10,black,other
гребешок,2022,10,#237265,animal
дукат,1992,10,#7111eb,money:banknote
статуя,1987,10,#50ed73,workart:скульт
роза,1982,10,#1170f5,workart
меч,1940,10,#9c02f9,tool:weapon
основа,1910,10,black,other
обкладка,1862,10,black,other
доска,1861,10,#8814ea,tool
запонка,1844,10,#794840,access
знак,1812,10,#dfe321,manif
лев,1760,10,#f09f26,hum$
шпиль,1754,10,#8814ea,tool
маска,1744,10,#95212d,stuff
доллар,1737,10,#7111eb,money:banknote
щит,1716,10,#1f05e5,space
грамота,1714,10,#8c222c,text
год,1709,10,#e9e084,time:age
рота,1686,10,#94911b,org
ножны,1682,10,black,other
листок,1669,10,#057694,doc
розга,1648,10,#b4bbad,impact
подвеска,1591,10,#794840,access
палата,1590,10,#94911b,org
булавка,1571,10,#8814ea,tool
земля,1569,10,#1f05e5,space
набалдашник,1564,10,black,other
значок,1562,10,#4a85e5,sign
изображение,1562,10,#1170f5,workart
царство,1556,10,#6e850c,org$/space
гребень,1533,10,#9814c3,форма
застежка,1523,10,#8814ea,tool
ручка,1515,10,#ffec83,tool:instr
ассист,1500,10,black,other
поднос,1496,10,#0792c1,move
душа,1484,10,#42be89,hum
щетинка,1474,10,#e883b2,hair
река,1464,10,#f8eda9,quant:max
стремя,1462,10,#8814ea,tool
лира,1457,10,#c161e7,tool:mus
гвоздь,1435,10,#8814ea,tool
вензель,1404,10,#325505,pattern
идол,1390,10,#42be89,hum
монетка,1388,10,black,other
медалист,1380,10,#237265,animal
крыша,1354,10,black,other
мундир,1342,10,#e43167,tool:cloth
оговорка,1322,10,#db2bc1,speech
треугольник,1315,10,#5e6a00,group
седло,1308,10,#b176e8,form
он,1272,10,#f9090e,hum:kin$/hum
тарелка,1249,10,#c161e7,tool:mus
канитель,1247,10,#95212d,stuff
яблочко,1245,10,#5014e1,workmus/dance
посредственность,1216,10,#42be89,hum
наличность,1206,10,#2ece22,be:exist
город,1204,10,#1f05e5,space
эполета,1202,10,black,other
чеканка,1196,10,#b4bbad,impact
промысл,1195,10,black,other
число,1193,10,#096786,time
ковш,1189,10,#8814ea,tool
эполет,1156,10,black,other
герб,1151,10,#4a85e5,sign
база,1150,10,#94911b,org
убор,1144,10,#e43167,tool:cloth
бусы,1140,10,#794840,access
крупица,1133,10,black,other
крыльцо,1130,10,black,other
шпора,1129,10,#8814ea,tool
вышивка,1120,10,#325505,pattern
долина,1119,10,#1f05e5,space
дракон,1117,10,#237265,animal
крупинка,1114,10,black,other
цена,1110,10,black,other
шнурок,1109,10,#8814ea,tool
кресло,1107,10,#deb5ca,tool:furn
подкова,1104,10,#b176e8,form
флорин,1078,10,#7111eb,money:banknote
брошь,1071,10,black,other
дверь,1066,10,#1f05e5,space
страна,1062,10,#1f05e5,space
сертификат,1061,10,#057694,doc
она,1061,10,black,other
копье,1060,10,#093020,money
сбруя,1058,10,black,other
горячка,1054,10,#ecba9c,psych
накладка,1054,10,#8814ea,tool
решетка,1053,10,#8814ea,tool
полумесяц,1032,10,#9814c3,форма
кувшин,1016,10,#91d4cf,tool:dish
ветвь,1014,10,black,other
рынок,1010,10,#1f05e5,space
рукоять,985,10,black,other
колокольчик,979,10,#95f3c1,plant
жетон,978,10,#4a85e5,sign
жезл,973,10,#ffec83,tool:instr
эпоха,973,10,#28a1d2,time:age/time:period
пул,966,10,black,other
серия,950,10,#8c222c,text
пршск,943,10,black,other
десяток,941,10,#c7d737,ciph$
обогащение,930,10,black,other
период,917,10,#8c222c,text
сплав,912,10,#95212d,stuff
олень,906,10,#237265,animal
фигурка,906,10,#a43fa0,thing
кафтан,900,10,#e43167,tool:cloth
орда,885,10,#5e6a00,group
солид,878,10,black,other
ваза,869,10,#b35581,tool:dish/tool
порошок,862,10,#95212d,stuff
стул,853,10,#95212d,stuff
вещица,850,10,black,other
доспехи,849,10,black,other
дом,847,10,#94911b,org
награда,846,10,#0728f7,money/thing
колыбель,843,10,#1f05e5,space
статуэтка,840,10,#50ed73,workart:скульт
струна,839,10,#8814ea,tool
якорь,836,10,#8814ea,tool
литера,835,10,#f34530,letter
строка,832,10,#8c222c,text
паутина,830,10,#95212d,stuff
монограмма,828,10,#325505,pattern
ампула,822,10,#8814ea,tool
гроб,820,10,#8814ea,tool
сеть,818,10,#8814ea,tool
вязь,817,10,black,other
род,815,10,#13acf4,like
десятилетие,814,10,#2517af,time:period
истукан,813,10,#a43fa0,thing
эшелон,808,10,#3d30d2,tool:transp
ты,807,10,black,other
лорнет,806,10,#8814ea,tool
стрелка,806,10,#16be75,tool:device
инкрустация,792,10,#1170f5,workart
копейка,790,10,#7111eb,money:banknote
мальчик,784,10,#8e78db,animal$
тайга,779,10,#1f05e5,space
средина,771,10,black,other
наконечник,770,10,black,other
наводка,770,10,#aa54ba,изменение положения
вольность,768,10,#8c222c,text
пуговка,767,10,#b176e8,form
булла,758,10,black,other
повязка,756,10,#8814ea,tool
скипетр,755,10,black,other
свобода,752,10,black,other
десятка,749,10,#7111eb,money:banknote
утварь,742,10,black,other
переплет,733,10,#95212d,stuff
денечек,733,10,black,other
петлица,731,10,#4a85e5,sign
сокровище,731,10,#42be89,hum
рукоятка,726,10,#8814ea,tool
звено,715,10,#5e6a00,group
шатер,710,10,#b433f0,constr
орден,706,10,#5e6a00,group
ковчег,704,10,#8814ea,tool
контакт,703,10,#7740b2,contact
проволочка,700,10,#99b309,?
рожок,699,10,#11afb4,fruit
денек,692,10,black,other
покров,692,10,#5dcb2f,tool:@bedding
времечко,689,10,black,other
венчик,686,10,#794840,access
ларец,684,10,#8814ea,tool
империал,682,10,#7111eb,money:banknote
безделушка,678,10,#a43fa0,thing
лестница,673,10,#b433f0,constr
лилия,670,10,#95f3c1,plant
кровать,666,10,#deb5ca,tool:furn
светильник,654,10,#c2b4dc,tool:device:@light
н,651,10,black,other
кружева,648,10,black,other
ложка,647,10,#c161e7,tool:mus
корабль,644,10,#3d30d2,tool:transp
дощечка,643,10,black,other
узда,635,10,#8814ea,tool
челюсть,635,10,#8814ea,tool
коробочка,633,10,#11afb4,fruit
костер,630,10,#1f05e5,space
парень,626,10,#f9090e,hum:kin$/hum
шеврон,626,10,#95212d,stuff
отделка,626,10,#b4bbad,impact
деление,625,10,#79c898,изменение:каузация
перышко,624,10,#efe01e,hair$
лампада,623,10,#c2b4dc,tool:device:@light
арфа,618,10,#c161e7,tool:mus
чашка,614,10,#b176e8,form
листопад,613,10,#b09543,weather
блокада,613,10,black,other
митра,608,10,#e43167,tool:cloth
птичка,604,10,#4a85e5,sign
забой,604,10,#b4bbad,impact
кружочек,602,10,black,other
дорога,602,10,#0792c1,move
фунт,598,10,#439d8f,unit
фигура,597,10,#42be89,hum
кружок,595,10,#5e6a00,group
гнездо,593,10,#5e6a00,group
замок,591,10,#1f05e5,space
блок,590,10,#16be75,tool:device
крышка,588,10,#ecbf09,be:disapp
имя,586,10,#7fb8a9,word
шашка,585,10,#8814ea,tool
корпус,584,10,#94911b,org
зеркало,583,10,#a1bb2b,param$
кумир,581,10,#42be89,hum
знамя,580,10,#b8ef35,sign:знамя
резьба,580,10,#1f05e5,space
пршек,580,10,black,other
курс,578,10,#5e6a00,group
пятерка,574,10,#7111eb,money:banknote
окно,573,10,#096786,time
приз,572,10,#a43fa0,thing
колонна,570,10,#b433f0,constr
гульден,565,10,#7111eb,money:banknote
листик,559,10,black,other
эквивалент,558,10,#a43fa0,thing
лампас,558,10,black,other
багет,557,10,#95212d,stuff
зажигалка,553,10,#d17274,tool:@shell
одеяние,549,10,black,other
сердечко,548,10,#b176e8,form
чернила,547,10,#6e5fce,stuff/liq
чертог,542,10,#1e512d,room/constr:@build
океан,542,10,#2520ac,space/reservoir
блюдечко,540,10,black,other
запястье,540,10,#794840,access
надежда,538,10,#42be89,hum
аксельбант,538,10,black,other
туфля,537,10,black,other
эра,536,10,#2517af,time:period
ручей,531,10,#2520ac,space/reservoir
коновязь,529,10,#1f05e5,space
слеза,529,10,#95212d,stuff
роспись,529,10,#1170f5,workart
уздечка,528,10,#8814ea,tool
икона,525,10,#1170f5,workart
покой,523,10,#eb6856,psych/neg
копь,520,10,black,other
кружка,518,10,#8814ea,tool
стоимость,518,10,black,other
облачение,515,10,black,other
эфес,513,10,black,other
орех,505,10,#47aa6f,plant/stuff
брошка,505,10,#794840,access
крендель,500,10,#b176e8,form
корешок,500,10,#42be89,hum
баба,498,10,#42be89,hum
памятник,495,10,#b433f0,constr
голос,495,10,#ee3441,ment
колесо,493,10,#3d30d2,tool:transp
единица,491,10,#439d8f,unit
месяц,490,10,#372f4f,space/astr
пломба,489,10,#8814ea,tool
колт,486,10,black,other
характер,485,10,black,other
дужка,483,10,black,other
ресурс,476,10,black,other
комната,473,10,#6b7de4,room
каемочка,471,10,black,other
озеро,470,10,#2520ac,space/reservoir
шелом,469,10,#c9d549,tool/tool:cloth$
письмена,469,10,#8c222c,text
латы,467,10,#c9d549,tool/tool:cloth$
весло,466,10,#ffec83,tool:instr
печатка,466,10,#3e52ec,tool:instr/access
сундук,460,10,#5b0c45,tool/tool:furn
вершина,460,10,black,other
отношение,460,10,#8c222c,text
ряд,456,10,#b176e8,form
пряжа,453,10,#95212d,stuff
подсвечник,451,10,#8814ea,tool
кораблик,450,10,black,other
рента,450,10,#b86daa,poss:приобретение
карандашик,446,10,black,other
гвоздика,446,10,#95f3c1,plant
дар,445,10,#b8f7b9,thing/poss
кулон,445,10,#439d8f,unit
