noun,zolotoj,zolotistyj,colour,code
чело,41,10,#1f05e5,space
лебедь,41,10,#237265,animal
акация,41,10,#95f3c1,plant
лиса,40,10,#95212d,stuff
козырек,40,10,black,other
люстра,40,10,#c2b4dc,tool:device:@light
крупа,40,10,#95212d,stuff
наклейка,40,10,#8814ea,tool
сера,40,10,#95212d,stuff
вальдшнеп,40,10,#237265,animal
горн,40,10,#c161e7,tool:mus
титул,40,10,#8c222c,text
плес,40,10,#1f05e5,space
кубышка,40,10,#95f3c1,plant
стафилококк,10,10852,black,other
хомячок,10,2426,#237265,animal
водоросль,10,2053,#95f3c1,plant
хомяк,10,1040,#237265,animal
ржанка,10,1024,black,other
рододендрон,10,862,#95f3c1,plant
жидкость,10,710,#6e5fce,stuff/liq
бронза,10,614,#95212d,stuff
колорит,10,413,#380553,color
окунь,10,387,#df14ee,animal:@fish/food
топаз,10,253,#ebd72a,jewel
блондинка,10,240,black,other
пигмент,10,239,#95212d,stuff
кристалл,10,213,black,other
жеребец,10,203,#f09f26,hum$
фазия,10,195,black,other
опушение,10,194,black,other
щурок,10,189,#e8e7f0,animal:@fish
фасоль,10,185,#95f3c1,plant
плантация,10,125,#1f05e5,space
железка,10,119,black,other
каракуль,10,118,#95212d,stuff
рой,10,97,black,other
корка,10,93,#95212d,stuff
глянец,10,88,#4112e9,light/внешний вид
люстер,10,87,black,other
хвоя,10,85,black,other
соломка,10,85,#8814ea,tool
полова,10,77,#95212d,stuff
медь,10,77,#95212d,stuff
бревно,10,68,#8814ea,tool
желтизна,10,67,#380553,color
плен,10,67,black,other
абажур,10,67,black,other
тычинка,10,66,black,other
термалама,10,66,black,other
прическа,10,65,#b4bbad,impact
глубина,10,62,#91f685,degr
хребет,10,61,#1f05e5,space
скакун,10,60,#f09f26,hum$
мячик,10,59,black,other
мех,10,58,#95212d,stuff
шелуха,10,57,#95212d,stuff
румянец,10,56,#380553,color
весть,10,55,#db2bc1,speech
шерстка,10,54,black,other
коньяк,10,52,#f9fe92,stuff/food/liq
пирит,10,52,#95212d,stuff
табак,10,52,#95f3c1,plant
освещение,10,51,#ee3441,ment
сафьян,10,50,#95212d,stuff
тес,10,48,black,other
полумрак,10,47,#6bcfb6,light
смех,10,46,#392b38,manif:emot
смола,10,46,#42be89,hum
гладь,10,45,#325505,pattern
восток,10,44,#1f05e5,space
мрамор,10,44,#95212d,stuff
яркость,10,44,black,other
штора,10,43,#6284fe,tool:штора
пелена,10,43,#95212d,stuff
кусочек,10,42,black,other
фея,10,42,#2490dc,hum:supernat
гильза,10,42,black,other
настилка,10,41,black,other
сазан,10,40,#df14ee,animal:@fish/food
