noun,malenkij,kroshechnyj,colour,code
барабанщик,836,10,#20b153,hum/prof
мостик,835,10,#bece90,space/constr
стрелка,834,10,#57faab,tool:device
кружка,830,10,#a62bc2,tool
барышня,827,10,#e7cb93,hum
сирота,827,10,#e7cb93,hum
дырка,824,10,#bcabd8,space
косточка,817,10,#e7cb93,hum
кулак,813,10,#e7cb93,hum
король,813,10,#e7cb93,hum
электростанция,811,10,#d77d8b,org
прогулка,811,10,#0a596b,move
ангел,806,10,#e7cb93,hum
процент,802,10,#7bd6a5,poss:приобретение
дельце,802,10,black,other
мышка,800,10,#702dab,animal
баночка,798,10,black,other
студия,798,10,#682f9d,room
сундучок,797,10,black,other
крыло,795,10,black,other
удача,790,10,black,other
царек,787,10,#e7cb93,hum
зала,784,10,black,other
подруга,783,10,#e7cb93,hum
свечка,780,10,#5425d9,форма
швейцария,778,10,black,other
шлюпка,778,10,#75a92c,tool:transp
чин,773,10,#e7cb93,hum
монастырь,773,10,#1dc069,org/constr
сынок,772,10,#e7cb93,hum
коврик,770,10,black,other
лоб,769,10,#e7cb93,hum
горка,767,10,#563171,move/move:fig
кабачок,767,10,#eb239e,plant
проблема,761,10,#022343,ment
концерт,758,10,#632056,workmus
сестричка,755,10,black,other
образец,755,10,#e7cb93,hum
алексей,752,10,black,other
пробирка,750,10,#a62bc2,tool
зверь,749,10,#478faf,hum$
мама,743,10,#1a2a19,hum:kin
лиза,742,10,black,other
экспедиция,741,10,#d77d8b,org
колонна,740,10,#a406c3,constr
любовь,739,10,#7d7ae0,psych:emot
еврей,737,10,#5e0ab7,hum:etn
пещера,733,10,#bcabd8,space
парк,733,10,#d77d8b,org
вагончик,730,10,#d54d87,constr:@hut
мысль,730,10,#022343,ment
холм,726,10,#bcabd8,space
струйка,725,10,black,other
возможность,724,10,#76b507,mod
братик,723,10,black,other
книжица,720,10,black,other
шар,719,10,#aceef8,form
заминка,719,10,#7b558d,speech
больница,717,10,#d77d8b,org
телевизор,717,10,#57faab,tool:device
дачка,716,10,black,other
шляпа,711,10,#e7cb93,hum
королевство,711,10,#495f97,org$/space
хвостик,710,10,black,other
совещание,709,10,#832575,action
пакет,706,10,#a62bc2,tool
генерал,706,10,#e1d653,hum/armpos
доктор,704,10,#e7cb93,hum
часовенка,704,10,black,other
ключ,704,10,#5f109c,sign
водопад,702,10,#bcabd8,space
крючок,701,10,#5425d9,форма
справка,698,10,#59f0b4,text
рощица,694,10,black,other
промежуток,691,10,#6fcab8,dist
памятник,690,10,#a406c3,constr
долина,689,10,#bcabd8,space
значение,688,10,#a6668d,?
чудовище,687,10,#e7cb93,hum
выставка,687,10,#832575,action
бутылка,685,10,#23aed4,unit
обида,685,10,#7d7ae0,psych:emot
мышонок,681,10,#702dab,animal
водоем,681,10,#1e8d3e,space/reservoir
фильм,680,10,#150718,workcin
японец,680,10,#5e0ab7,hum:etn
коттедж,679,10,black,other
юрта,676,10,#a406c3,constr
костерок,676,10,black,other
капитан,673,10,#e7cb93,hum
ягненок,672,10,#478faf,hum$
оборвыш,671,10,#e7cb93,hum
облако,671,10,black,other
букет,670,10,black,other
звено,669,10,#ef5046,group
вокзал,669,10,#a406c3,constr
коробка,669,10,#a62bc2,tool
людишки,668,10,black,other
негодяй,667,10,#e7cb93,hum
артель,667,10,#ef5046,group
оля,666,10,black,other
месть,665,10,#b989de,воздействие на человека
цветочек,664,10,#31f8e5,hum$@
число,660,10,#0e1f43,time
салон,659,10,#682f9d,room
буксир,658,10,#a62bc2,tool
перемена,657,10,#0e1f43,time
расстояние,656,10,#4968de,dist/param
дама,653,10,#249f8f,tool/tool:card
операция,652,10,#832575,action
порт,651,10,#d77d8b,org
хищник,648,10,#478faf,hum$
горшок,648,10,#a62bc2,tool
тиран,648,10,#e7cb93,hum
солнышко,647,10,#e7cb93,hum
офицер,646,10,#5e032d,tool/tool:game
вася,643,10,black,other
кинотеатр,643,10,#d77d8b,org
интерес,643,10,#022343,ment
ящерица,642,10,#702dab,animal
печь,640,10,#57faab,tool:device
горбун,638,10,#e7cb93,hum
олененок,636,10,#702dab,animal
прямоугольник,636,10,#5f109c,sign
печурка,634,10,#57faab,tool:device
дикарь,634,10,#e7cb93,hum
бельгия,634,10,black,other
очаг,634,10,#bcabd8,space
ссора,633,10,#08fd61,speech/inter
толпа,632,10,#ef5046,group
кинжал,630,10,#b6913a,tool:weapon
поезд,629,10,#75a92c,tool:transp
гроб,629,10,#a62bc2,tool
аэродром,628,10,#bece90,space/constr
развлечение,627,10,black,other
роща,627,10,#bcabd8,space
роза,625,10,#66616f,workart
дорожка,624,10,#a62bc2,tool
зародыш,624,10,black,other
неудобство,624,10,#2c9338,отсутствие
обезьяна,623,10,#478faf,hum$
пирожок,623,10,#b4ff8d,tool:cloth
несчастие,623,10,black,other
коридор,623,10,#bcabd8,space
докторша,623,10,#e7cb93,hum
страсть,622,10,#632056,workmus
народец,622,10,black,other
певец,621,10,#e7cb93,hum
березка,620,10,black,other
фонтан,618,10,#82134b,tool:device/constr
булочка,618,10,black,other
табуретка,617,10,black,other
сани,617,10,#75a92c,tool:transp
воронка,615,10,#bcabd8,space
корона,614,10,#9e4e78,tool:cloth$
паж,613,10,#e7cb93,hum
охотник,611,10,#e7cb93,hum
нелли,610,10,black,other
гвоздик,610,10,#aceef8,form
гавань,609,10,#1e8d3e,space/reservoir
тучка,609,10,black,other
словечко,607,10,black,other
