noun,hudoj,toschij,colour,code
шинель,81,10,#c1ed8f,tool:cloth
имя,80,10,#a8c70c,word
образец,79,10,#eae03e,hum
номоканунец,78,10,black,other
порядок,78,10,#1a1eaa,asp:move
присмотр,78,10,black,other
управление,77,10,#3b5c33,org
рифмотворец,77,10,black,other
епитрахиль,75,10,black,other
рачение,74,10,black,other
генерал,74,10,#7caccd,hum/armpos
двло,73,10,black,other
отец,73,10,#eae03e,hum
лодка,72,10,#89ac73,tool:transp
человечишка,71,10,black,other
француз,70,10,#0893ba,hum:etn
слуга,69,10,#eae03e,hum
думка,69,10,#28a201,ment
инженер,67,10,#68c3d7,hum/prof
рожа,67,10,#eae03e,hum
кобель,67,10,#19444a,hum$
пора,66,10,#ffa53e,time
склонность,66,10,black,other
краска,66,10,#3d2c60,impact
питание,64,10,#4f3c3d,food
грузин,64,10,#0893ba,hum:etn
нагота,63,10,black,other
покой,63,10,#816f21,psych/neg
услуга,62,10,#d4a76d,inter:содействие
телега,62,10,#4d082c,speech
мост,61,10,#f67963,tool
цыганка,61,10,black,other
окно,60,10,#ffa53e,time
это,60,10,black,other
финдиректор,59,10,black,other
иван,59,10,black,other
квас,59,10,#f18f4a,stuff/food/liq
лейтенант,59,10,#7caccd,hum/armpos
священник,59,10,#eae03e,hum
плечико,58,10,black,other
дъла,58,10,black,other
красноармеец,58,10,#68c3d7,hum/prof
н,57,10,black,other
внушитель,57,10,black,other
пальчик,57,10,black,other
ветер,56,10,#1b352e,weather
учитель,56,10,#eae03e,hum
корыто,56,10,#f67963,tool
муха,56,10,#205274,animal
китаец,56,10,#0893ba,hum:etn
англичанин,55,10,#0893ba,hum:etn
шинелишка,55,10,black,other
исполнение,55,10,black,other
настроение,55,10,#c1435e,psych
поэт,55,10,#eae03e,hum
гость,55,10,#373a80,hum$@
дворянин,55,10,#eae03e,hum
стихотворец,54,10,black,other
доброта,53,10,#e55be8,humq
лихач,53,10,#eae03e,hum
автор,53,10,#eae03e,hum
бочка,53,10,#9d6b00,move/move:fig
спор,53,10,#edc6a0,speech/inter
живописец,52,10,#68c3d7,hum/prof
голень,52,10,black,other
кострец,51,10,#6a2950,stuff/food
майор,51,10,#7caccd,hum/armpos
то,51,10,black,other
распоряжение,50,10,#4d082c,speech
картина,50,10,#dc7a4d,workart
сын,50,10,#555b41,animal$@
совет,50,10,#3b5c33,org
дядька,50,10,#68c3d7,hum/prof
боец,49,10,#eae03e,hum
сок,49,10,#f18f4a,stuff/food/liq
американец,49,10,#0893ba,hum:etn
правление,49,10,#3b5c33,org
учение,49,10,#5d649e,action
кулачок,49,10,black,other
помощник,49,10,#eae03e,hum
шейка,49,10,black,other
щенок,48,10,#19444a,hum$
плетень,48,10,#196fba,constr
результат,48,10,#e2014e,param$
желание,48,10,#4b9ce4,psych:volit
избушка,47,10,black,other
они,47,10,black,other
обращение,47,10,#a8c70c,word
сбыт,47,10,#af2f64,poss:лишение
прием,47,10,#5d649e,action
зипун,47,10,#c1ed8f,tool:cloth
нос,47,10,black,other
шубенка,47,10,black,other
квартира,47,10,#835bb4,space
соболь,46,10,#4dc984,stuff
пастух,46,10,#68c3d7,hum/prof
цель,46,10,#28a201,ment
промысел,46,10,#835bb4,space
риторство,45,10,black,other
белье,45,10,black,other
товарищ,45,10,#eae03e,hum
брат,45,10,#eae03e,hum
старец,44,10,#eae03e,hum
бой,44,10,#eae03e,hum
хозяйство,44,10,#3b5c33,org
путь,44,10,#7099fd,asp
воздух,44,10,#835bb4,space
экономия,44,10,#9e5bad,poss
поросенок,43,10,#19444a,hum$
негр,43,10,#eae03e,hum
прислужка,43,10,black,other
п,43,10,black,other
ворчание,43,10,black,other
вор,43,10,#eae03e,hum
братец,43,10,#eae03e,hum
аттестация,43,10,black,other
знание,43,10,#28a201,ment
штаны,42,10,#c1ed8f,tool:cloth
дом,42,10,#3b5c33,org
кровля,42,10,black,other
бог,42,10,#551e78,hum:supernat
девка,42,10,#eae03e,hum
домишко,42,10,black,other
варежка,42,10,#c1ed8f,tool:cloth
оно,41,10,black,other
избенка,41,10,black,other
замысел,41,10,#28a201,ment
сосед,41,10,#eae03e,hum
шлафрок,41,10,black,other
купля,41,10,#25b307,poss:приобретение
кацап,41,10,black,other
сюртук,41,10,#c1ed8f,tool:cloth
сонька,41,10,black,other
содержаше,40,10,black,other
поручик,40,10,#7caccd,hum/armpos
намек,40,10,#52a4d0,manif
затылок,40,10,#835bb4,space
влияние,40,10,black,other
барабан,40,10,#f67963,tool
умишко,40,10,black,other
кишка,10,15131,#f67963,tool
уголь,10,5287,#f67963,tool
кошелек,10,1403,#f67963,tool
абстракция,10,1337,#28a201,ment
желудок,10,1009,black,other
бетон,10,775,#4dc984,stuff
глина,10,527,#4dc984,stuff
папка,10,510,#d0c084,hum:kin
поле,10,470,#835bb4,space
узелок,10,437,black,other
мясо,10,430,#4dc984,stuff
хвост,10,399,#eae03e,hum
рыба,10,371,#494dfe,text
упитанность,10,361,black,other
брошюрка,10,348,black,other
стадо,10,344,black,other
народ,10,340,black,other
рюкзак,10,330,#f67963,tool
подушка,10,315,#f67963,tool
абсорбент,10,304,black,other
колос,10,286,black,other
брюхо,10,279,#835bb4,space
котомка,10,275,#f67963,tool
книжка,10,273,#507f57,doc
березка,10,262,black,other
коровенка,10,255,black,other
куст,10,251,#3b5c33,org
бюджет,10,239,#281541,text$
чемодан,10,237,#f67963,tool
бороденка,10,229,black,other
растительность,10,225,#4b1d49,hair
береза,10,225,#346b8e,plant
матрац,10,224,black,other
пара,10,223,#0b3f82,schoolmark
масса,10,220,#17f1b1,quant:max
зелень,10,202,#4f3c3d,food
задница,10,194,#835bb4,space
портфель,10,186,#f67963,tool
деревце,10,184,#346b8e,plant
пачка,10,180,#c1ed8f,tool:cloth
кустарник,10,172,#346b8e,plant
кустик,10,169,black,other
бородка,10,169,#4b1d49,hair
книжонка,10,163,black,other
животное,10,161,#19444a,hum$
мужичонка,10,161,black,other
журнал,10,159,#353ecb,book
угол,10,158,#835bb4,space
косичка,10,157,black,other
освещение,10,154,#28a201,ment
деревцо,10,154,black,other
энеида,10,151,black,other
доказательство,10,135,#28a201,ment
книжечка,10,134,black,other
ракита,10,125,#346b8e,plant
тюфяк,10,113,#eae03e,hum
бумажник,10,111,#68c3d7,hum/prof
ягодица,10,109,black,other
хлеб,10,107,#15b55f,poss$
чемоданчик,10,106,black,other
травка,10,105,#4dc984,stuff
брошюра,10,104,#494dfe,text
котенок,10,104,#19444a,hum$
зерно,10,102,#4f3c3d,food
произведение,10,100,#b9c044,workart/workmus/workdram/workcin/text
голод,10,100,#397444,отсутствие
пучок,10,99,black,other
журавль,10,98,#3d10de,tool/tool:device
паек,10,98,#4f3c3d,food
слой,10,96,#612466,group
херувим,10,92,#eae03e,hum
казна,10,90,#3b5c33,org
папочка,10,89,#f67963,tool
формула,10,88,#4d082c,speech
косица,10,88,black,other
сельдь,10,86,#c0d9eb,animal:@fish
существо,10,85,#513d3b,hum$/animal$/hum:supernat$/living
сырье,10,84,black,other
прокормление,10,83,black,other
субъект,10,81,#eae03e,hum
рюкзачок,10,78,black,other
лампада,10,77,#48a497,tool:device:@light
мечтание,10,77,#28a201,ment
осина,10,76,#346b8e,plant
складка,10,75,#9a2b22,внешний вид
стадия,10,74,black,other
баран,10,74,#205274,animal
сосна,10,72,#346b8e,plant
шнурочек,10,71,black,other
кура,10,69,#205274,animal
книжица,10,68,black,other
борода,10,66,#4b1d49,hair
пласт,10,65,black,other
сад,10,65,#3b5c33,org
свет,10,63,#eae03e,hum
солдатик,10,62,#0cc206,toy/tool
липка,10,61,black,other
сука,10,60,#19444a,hum$
сумка,10,59,#f67963,tool
цветок,10,58,#346b8e,plant
пожитки,10,58,black,other
зверь,10,58,#19444a,hum$
суглинок,10,58,#4dc984,stuff
букетик,10,58,black,other
ручеек,10,57,black,other
губа,10,57,#f84370,room
ельничек,10,56,black,other
тетрадка,10,56,#353ecb,book
месяц,10,55,#1d3534,space/astr
свеча,10,55,#992078,форма
приказчик,10,52,#eae03e,hum
грушка,10,51,black,other
одеяло,10,51,#8607a7,tool:@bedding
овин,10,51,#196fba,constr
подстилка,10,51,#4dc984,stuff
сосенка,10,50,black,other
стан,10,50,#f79902,tool/tool:device:@machine
растение,10,49,#346b8e,plant
ус,10,49,#4b1d49,hair
молоко,10,49,#e222ac,stuff/liq
пашня,10,48,#d113e2,space/plot
головка,10,47,#612466,group
недра,10,47,#835bb4,space
талия,10,46,black,other
конверт,10,46,#0efffd,tool:cloth$/tool
больной,10,45,#eae03e,hum
касса,10,45,#f67963,tool
акация,10,45,#346b8e,plant
мешочек,10,45,black,other
дед,10,44,#eae03e,hum
верблюд,10,44,#205274,animal
хребет,10,43,#835bb4,space
пастбище,10,43,#835bb4,space
озимь,10,43,#346b8e,plant
остов,10,43,black,other
стопка,10,43,#1bfe98,form
палата,10,43,#3b5c33,org
особа,10,43,#eae03e,hum
крыса,10,43,#205274,animal
матрас,10,42,#8607a7,tool:@bedding
бурьян,10,42,#835bb4,space
ветвь,10,41,black,other
схема,10,41,#b72fb4,pattern/text
обед,10,41,#ffa53e,time
рюкзачишко,10,40,black,other
